index,open,high,low,close,volume,Name
2016-01-05,123.43,126.25,122.31,125.84,2163572,WLTW
2016-01-06,125.24,125.54,119.94,119.98,2386461,WLTW
2016-01-07,116.38,119.74,114.93,114.95,2489451,WLTW
2016-01-08,115.48,117.44,113.5,116.62,2006267,WLTW
2016-01-09,115.99,117.4,113.7,116.07,1807028,WLTW
2016-01-10,116.5,117.37,113.89,115.52,1607789,WLTW
2016-01-11,117.01,117.33,114.09,114.97,1408550,WLTW
2016-01-12,115.51,116.06,114.5,115.55,1098024,WLTW
2016-01-13,116.46,117.06,112.59,112.85,949576,WLTW
2016-01-14,113.51,115.03,110.05,114.38,785469,WLTW
2016-01-15,113.33,114.88,111.92,112.53,1093741,WLTW
2016-01-16,113.41,115.13,111.41,111.99,1201188,WLTW
2016-01-17,113.5,115.38,110.9,111.46,1308634,WLTW
2016-01-18,113.58,115.62,110.38,110.92,1416080,WLTW
2016-01-19,113.66,115.87,109.87,110.38,1523527,WLTW
2016-01-20,109.06,111.6,108.32,109.3,1654181,WLTW
2016-01-21,109.73,110.58,108.32,110.0,944335,WLTW
2016-01-22,111.88,112.95,110.19,111.95,745066,WLTW
2016-01-23,111.69,113.51,110.13,111.34,731310,WLTW
2016-01-24,111.51,114.07,110.06,110.73,717555,WLTW
2016-01-25,111.32,114.63,110.0,110.12,703799,WLTW
2016-01-26,110.42,111.4,107.3,111.0,563603,WLTW
2016-01-27,110.77,112.57,109.02,110.71,896948,WLTW
2016-01-28,110.9,112.97,109.9,112.58,680420,WLTW
2016-01-29,113.35,114.59,111.67,114.47,749928,WLTW
2016-01-30,113.57,114.68,112.08,114.48,691342,WLTW
2016-01-31,113.78,114.76,112.49,114.49,632756,WLTW
2016-02-01,114.0,114.85,112.9,114.5,574170,WLTW
2016-02-02,113.25,113.86,109.75,110.56,694826,WLTW
2016-02-03,113.38,114.64,109.64,114.05,896326,WLTW
2016-02-04,114.08,116.32,114.08,115.71,956336,WLTW
2016-02-05,115.12,116.49,109.71,114.02,997061,WLTW
2016-02-06,114.51,115.43,109.96,113.07,1064858,WLTW
2016-02-07,113.91,114.36,110.21,112.11,1132655,WLTW
2016-02-08,113.3,113.3,110.46,111.16,1200452,WLTW
2016-02-09,111.17,112.11,109.64,110.65,1725244,WLTW
2016-02-10,106.73,112.11,106.36,107.52,1945964,WLTW
2016-02-11,105.63,109.26,104.11,107.13,1319536,WLTW
2016-02-12,108.56,109.43,107.07,107.84,922402,WLTW
2016-02-13,108.7,109.9,107.06,108.57,988074,WLTW
2016-02-14,108.84,110.36,107.04,109.3,1053746,WLTW
2016-02-15,108.97,110.83,107.02,110.04,1119419,WLTW
2016-02-16,109.11,111.3,107.01,110.77,1185091,WLTW
2016-02-17,110.83,112.11,107.97,111.24,922004,WLTW
2016-02-18,111.12,112.2,108.93,111.6,441403,WLTW
2016-02-19,111.37,112.4,107.28,110.33,1244745,WLTW
2016-02-20,111.37,112.67,108.52,111.23,1057008,WLTW
2016-02-21,111.36,112.95,109.77,112.14,869271,WLTW
2016-02-22,111.36,113.23,111.01,113.04,681534,WLTW
2016-02-23,112.37,112.8,111.35,111.89,411236,WLTW
2016-02-24,110.77,112.49,109.82,111.56,447282,WLTW
2016-02-25,111.6,112.99,110.75,112.88,559882,WLTW
2016-02-26,113.34,114.18,111.01,112.75,460167,WLTW
2016-02-27,113.24,114.57,111.22,112.94,630633,WLTW
2016-02-28,113.14,114.97,111.44,113.13,801099,WLTW
2016-02-29,113.04,115.36,111.65,113.32,971565,WLTW
2016-03-01,114.27,115.57,112.65,115.51,694078,WLTW
2016-03-02,115.35,117.09,115.2,116.78,1159689,WLTW
2016-03-03,116.49,117.67,115.42,117.0,884727,WLTW
2016-03-04,116.61,117.48,115.57,117.19,692422,WLTW
2016-03-05,116.42,117.48,115.71,117.11,761010,WLTW
2016-03-06,116.24,117.48,115.85,117.03,829597,WLTW
2016-03-07,116.05,117.48,115.99,116.95,898185,WLTW
2016-03-08,116.5,117.37,115.45,116.71,844475,WLTW
2016-03-09,117.05,117.31,115.5,116.49,796520,WLTW
2016-03-10,116.91,118.0,114.14,116.82,416820,WLTW
2016-03-11,117.93,120.76,116.63,120.62,590200,WLTW
2016-03-12,118.76,120.85,117.29,120.62,558501,WLTW
2016-03-13,119.59,120.95,117.94,120.63,526802,WLTW
2016-03-14,120.42,121.04,118.6,120.63,495103,WLTW
2016-03-15,119.84,120.76,118.09,120.7,515925,WLTW
2016-03-16,120.35,121.04,119.01,120.82,562061,WLTW
2016-03-17,121.01,124.41,119.45,124.03,809321,WLTW
2016-03-18,124.25,124.56,120.09,121.27,1607637,WLTW
2016-03-19,123.12,123.65,119.77,121.33,1405536,WLTW
2016-03-20,121.99,122.75,119.46,121.39,1203435,WLTW
2016-03-21,120.86,121.84,119.14,121.45,1001334,WLTW
2016-03-22,121.03,122.91,120.72,121.47,711414,WLTW
2016-03-23,121.47,121.47,119.1,119.38,444186,WLTW
2016-03-24,118.89,119.44,117.64,119.41,534102,WLTW
2016-03-25,119.04,119.8,117.73,119.24,600206,WLTW
2016-03-26,119.2,120.16,117.82,119.06,666310,WLTW
2016-03-27,119.36,120.52,117.91,118.89,732414,WLTW
2016-03-28,119.51,120.88,118.0,118.72,798518,WLTW
2016-03-29,117.99,118.93,117.02,117.98,591035,WLTW
2016-03-30,118.4,119.67,118.12,118.74,443154,WLTW
2016-03-31,118.78,119.34,117.86,118.66,577994,WLTW
2016-04-01,118.08,120.34,117.02,119.93,765063,WLTW
2016-04-02,118.61,120.34,117.14,119.17,681460,WLTW
2016-04-03,119.13,120.35,117.26,118.41,597858,WLTW
2016-04-04,119.66,120.35,117.38,117.65,514255,WLTW
2016-04-05,116.4,116.44,113.25,114.07,1149975,WLTW
2016-04-06,114.09,115.61,113.73,115.47,2036098,WLTW
2016-04-07,114.74,115.26,113.34,113.54,702236,WLTW
2016-04-08,114.88,115.0,112.59,113.41,689087,WLTW
2016-04-09,114.62,115.32,113.1,113.82,643986,WLTW
2016-04-10,114.37,115.63,113.6,114.23,598885,WLTW
2016-04-11,114.11,115.95,114.11,114.64,553784,WLTW
2016-04-12,114.99,115.99,114.75,115.79,775919,WLTW
2016-04-13,115.81,118.01,115.1,117.99,621917,WLTW
2016-04-14,118.16,119.68,117.17,117.72,358129,WLTW
2016-04-15,117.5,118.8,115.93,118.45,939335,WLTW
2016-04-16,117.77,119.62,116.46,119.39,871533,WLTW
2016-04-17,118.05,120.45,116.98,120.32,803731,WLTW
2016-04-18,118.32,121.27,117.51,121.26,735929,WLTW
2016-04-19,121.35,122.42,121.17,121.68,924704,WLTW
2016-04-20,121.1,122.46,121.02,122.31,658832,WLTW
2016-04-21,122.61,124.13,121.93,123.01,1055381,WLTW
2016-04-22,123.48,124.74,122.58,123.79,695352,WLTW
2016-04-23,123.39,124.49,122.44,123.63,616892,WLTW
2016-04-24,123.29,124.24,122.31,123.46,538432,WLTW
2016-04-25,123.2,124.0,122.17,123.3,459972,WLTW
2016-04-26,123.96,124.46,123.16,124.4,532993,WLTW
2016-04-27,124.59,124.99,123.13,124.69,462677,WLTW
2016-04-28,123.54,124.62,122.68,124.15,910737,WLTW
2016-04-29,123.8,125.17,122.05,124.9,889670,WLTW
2016-04-30,124.35,125.69,122.97,125.25,838005,WLTW
2016-05-01,124.89,126.22,123.88,125.61,786340,WLTW
2016-05-02,125.44,126.74,124.8,125.96,734675,WLTW
2016-05-03,124.56,126.43,123.66,126.27,1304758,WLTW
2016-05-04,125.39,126.78,124.97,126.56,1598249,WLTW
2016-05-05,126.66,127.79,126.2,127.66,1917463,WLTW
2016-05-06,127.36,127.36,121.24,121.56,3221640,WLTW
2016-05-07,125.67,126.12,121.23,122.19,2454362,WLTW
2016-05-08,123.97,124.88,121.21,122.81,1687084,WLTW
2016-05-09,122.28,123.64,121.2,123.44,919806,WLTW
2016-05-10,123.89,125.99,122.81,125.51,1991598,WLTW
2016-05-11,125.7,125.94,124.07,124.21,594848,WLTW
2016-05-12,124.44,124.57,122.01,123.89,475831,WLTW
2016-05-13,123.91,126.27,122.75,122.97,715131,WLTW
2016-05-14,123.65,125.72,122.79,123.28,653006,WLTW
2016-05-15,123.38,125.16,122.83,123.6,590881,WLTW
2016-05-16,123.12,124.61,122.87,123.91,528756,WLTW
2016-05-17,123.4,124.17,121.14,123.41,580015,WLTW
2016-05-18,123.22,125.4,122.52,125.27,629695,WLTW
2016-05-19,124.52,125.47,122.69,125.12,598200,WLTW
2016-05-20,125.15,125.77,123.9,125.57,816675,WLTW
2016-05-21,125.26,125.92,124.18,125.7,758048,WLTW
2016-05-22,125.37,126.08,124.47,125.82,699421,WLTW
2016-05-23,125.48,126.23,124.76,125.95,640794,WLTW
2016-05-24,126.13,127.08,125.17,126.62,761077,WLTW
2016-05-25,127.08,128.06,125.94,126.46,462218,WLTW
