index,open,high,low,close,volume,Name
2013-02-08,71.2,71.64,71.07,71.48,5906823,WMT
2013-02-09,71.22,71.6,70.89,71.45,6005393,WMT
2013-02-10,71.23,71.55,70.71,71.43,6103964,WMT
2013-02-11,71.25,71.51,70.53,71.4,6202534,WMT
2013-02-12,71.49,71.66,71.1,71.4,4761910,WMT
2013-02-13,71.29,71.7,71.21,71.39,3969807,WMT
2013-02-14,71.1,71.23,70.76,70.82,6820952,WMT
2013-02-15,69.54,70.0,68.13,69.3,25687156,WMT
2013-02-16,69.45,69.86,68.23,69.16,22936198,WMT
2013-02-17,69.37,69.72,68.34,69.03,20185239,WMT
2013-02-18,69.28,69.59,68.44,68.9,17434280,WMT
2013-02-19,69.19,69.45,68.54,68.76,14683322,WMT
2013-02-20,68.72,69.85,68.3,69.21,11973720,WMT
2013-02-21,70.0,71.47,69.72,70.26,20425983,WMT
2013-02-22,70.22,70.54,69.89,70.4,9169060,WMT
2013-02-23,70.31,70.81,70.07,70.41,10052570,WMT
2013-02-24,70.41,71.07,70.26,70.43,10936080,WMT
2013-02-25,70.5,71.34,70.44,70.44,11819590,WMT
2013-02-26,70.69,71.39,70.61,71.11,10558487,WMT
2013-02-27,70.92,71.96,70.58,71.66,8820257,WMT
2013-02-28,71.59,71.88,70.78,70.78,18874853,WMT
2013-03-01,70.78,71.9,70.78,71.74,8902516,WMT
2013-03-02,71.03,72.35,71.02,72.25,9457462,WMT
2013-03-03,71.27,72.81,71.27,72.75,10012408,WMT
2013-03-04,71.52,73.26,71.51,73.26,10567354,WMT
2013-03-05,73.47,74.04,72.99,73.72,9093856,WMT
2013-03-06,73.75,74.13,73.25,73.38,7152681,WMT
2013-03-07,73.49,73.61,73.2,73.32,6689031,WMT
2013-03-08,73.3,73.39,72.84,73.03,5744563,WMT
2013-03-09,73.23,73.34,72.83,73.01,5546225,WMT
2013-03-10,73.16,73.29,72.82,73.0,5347888,WMT
2013-03-11,73.09,73.24,72.81,72.98,5149550,WMT
2013-03-12,72.95,73.9,72.84,73.6,8156286,WMT
2013-03-13,73.89,74.2,73.54,73.65,5326032,WMT
2013-03-14,73.87,74.0,73.13,73.22,6353199,WMT
2013-03-15,73.01,73.5,72.44,72.5,17206161,WMT
2013-03-16,72.77,73.24,72.29,72.42,13394471,WMT
2013-03-17,72.53,72.99,72.15,72.33,9582780,WMT
2013-03-18,72.29,72.73,72.01,72.25,5771090,WMT
2013-03-19,72.42,72.87,72.19,72.45,5751083,WMT
2013-03-20,72.81,73.38,72.74,72.99,6309979,WMT
2013-03-21,72.87,73.47,72.85,73.13,5494804,WMT
2013-03-22,73.35,74.29,73.29,74.28,7246230,WMT
2013-03-23,73.61,74.56,73.57,74.47,8310374,WMT
2013-03-24,73.88,74.84,73.84,74.66,9374519,WMT
2013-03-25,74.14,75.11,74.12,74.85,10438663,WMT
2013-03-26,74.93,75.09,74.43,74.77,6642358,WMT
2013-03-27,74.31,74.96,74.24,74.78,5970553,WMT
2013-03-28,74.84,74.97,74.38,74.83,7341433,WMT
2013-03-29,74.88,75.21,74.51,74.98,7610099,WMT
2013-03-30,74.92,75.45,74.64,75.13,7878765,WMT
2013-03-31,74.96,75.69,74.77,75.28,8147431,WMT
2013-04-01,75.0,75.93,74.9,75.43,8416097,WMT
2013-04-02,75.55,76.05,75.42,76.02,6642176,WMT
2013-04-03,76.31,76.68,75.72,76.0,7453922,WMT
2013-04-04,76.03,76.58,75.96,76.2,7508315,WMT
2013-04-05,75.55,76.41,75.43,76.39,5861325,WMT
2013-04-06,75.73,76.76,75.56,76.69,6599236,WMT
2013-04-07,75.92,77.1,75.7,76.99,7337146,WMT
2013-04-08,76.1,77.44,75.83,77.29,8075057,WMT
2013-04-09,77.24,78.46,77.02,78.12,8652436,WMT
2013-04-10,78.28,78.38,77.37,77.37,8598933,WMT
2013-04-11,77.36,78.37,77.27,77.79,7127971,WMT
2013-04-12,77.63,78.85,77.58,78.56,6337965,WMT
2013-04-13,77.9,78.99,77.86,78.53,7075004,WMT
2013-04-14,78.17,79.14,78.15,78.5,7812042,WMT
2013-04-15,78.44,79.28,78.43,78.47,8549081,WMT
2013-04-16,78.23,78.86,78.03,78.68,6854546,WMT
2013-04-17,78.53,79.07,78.11,78.51,7248636,WMT
2013-04-18,78.76,79.05,76.61,77.16,14209056,WMT
2013-04-19,77.5,78.44,77.4,78.29,7827256,WMT
2013-04-20,77.76,78.44,77.43,78.18,6936505,WMT
2013-04-21,78.03,78.44,77.47,78.08,6045754,WMT
2013-04-22,78.29,78.44,77.5,77.97,5155003,WMT
2013-04-23,78.11,79.22,78.05,79.09,6654114,WMT
2013-04-24,79.23,79.5,77.92,78.03,8083545,WMT
2013-04-25,78.18,78.83,77.88,78.65,5730230,WMT
2013-04-26,78.58,79.15,78.57,79.04,5923528,WMT
2013-04-27,78.75,79.18,78.43,78.82,6001621,WMT
2013-04-28,78.91,79.22,78.29,78.61,6079715,WMT
2013-04-29,79.08,79.25,78.15,78.39,6157808,WMT
2013-04-30,78.28,78.3,77.37,77.72,7961644,WMT
2013-05-01,77.85,78.66,77.69,78.06,6260681,WMT
2013-05-02,77.91,78.49,77.8,78.46,4515961,WMT
2013-05-03,78.92,79.34,78.9,79.25,5599388,WMT
2013-05-04,78.98,79.28,78.86,79.11,5335260,WMT
2013-05-05,79.04,79.22,78.81,78.97,5071131,WMT
2013-05-06,79.1,79.16,78.77,78.83,4807003,WMT
2013-05-07,79.1,79.14,78.77,78.83,6571101,WMT
2013-05-08,78.56,78.66,77.78,78.25,8008719,WMT
2013-05-09,78.31,78.96,77.9,78.4,6516841,WMT
2013-05-10,78.47,78.91,78.28,78.89,5831224,WMT
2013-05-11,78.58,78.92,78.16,78.76,6458995,WMT
2013-05-12,78.69,78.93,78.04,78.63,7086767,WMT
2013-05-13,78.8,78.94,77.92,78.5,7714538,WMT
2013-05-14,77.98,78.86,77.67,78.78,10017969,WMT
2013-05-15,78.8,79.96,78.65,79.86,8000420,WMT
2013-05-16,78.1,78.86,77.34,78.5,12128798,WMT
2013-05-17,78.3,78.59,77.4,77.87,10671373,WMT
2013-05-18,78.16,78.36,77.39,77.71,8975115,WMT
2013-05-19,78.02,78.13,77.37,77.56,7278858,WMT
2013-05-20,77.88,77.9,77.36,77.4,5582600,WMT
2013-05-21,77.62,78.18,77.25,77.39,7484386,WMT
2013-05-22,77.19,77.8,76.75,77.03,9029193,WMT
2013-05-23,76.83,76.94,76.25,76.33,8023168,WMT
2013-05-24,76.32,77.41,76.15,77.31,7589559,WMT
2013-05-25,76.62,77.57,76.38,77.31,7206962,WMT
2013-05-26,76.92,77.72,76.6,77.32,6824364,WMT
2013-05-27,77.22,77.88,76.83,77.32,6441767,WMT
2013-05-28,77.52,78.04,77.06,77.32,6059170,WMT
2013-05-29,77.05,77.05,76.06,76.23,5882206,WMT
2013-05-30,76.49,76.54,75.61,75.63,6228644,WMT
2013-05-31,75.36,75.63,74.82,74.84,9748362,WMT
2013-06-01,75.26,75.69,74.76,75.12,9312893,WMT
2013-06-02,75.16,75.74,74.7,75.41,8877423,WMT
2013-06-03,75.06,75.8,74.64,75.69,8441954,WMT
2013-06-04,75.77,76.38,75.47,75.94,9344138,WMT
2013-06-05,75.72,75.95,75.07,75.25,6778532,WMT
2013-06-06,75.27,75.74,74.83,75.63,9426122,WMT
2013-06-07,76.38,76.87,76.19,76.33,8348010,WMT
2013-06-08,76.35,76.8,76.01,76.14,7809214,WMT
2013-06-09,76.31,76.72,75.84,75.94,7270417,WMT
2013-06-10,76.28,76.65,75.66,75.75,6731621,WMT
2013-06-11,75.42,75.83,74.99,75.25,6006369,WMT
2013-06-12,75.47,75.71,74.65,74.84,4731024,WMT
2013-06-13,74.78,75.33,74.56,75.0,7241763,WMT
2013-06-14,74.84,75.27,74.8,74.87,6351451,WMT
2013-06-15,74.89,75.33,74.7,74.9,6394655,WMT
2013-06-16,74.95,75.39,74.61,74.92,6437860,WMT
2013-06-17,75.0,75.44,74.51,74.95,6481064,WMT
2013-06-18,75.0,75.88,74.8,75.73,6739607,WMT
2013-06-19,75.74,75.96,74.34,74.46,8329067,WMT
2013-06-20,74.5,74.66,73.01,73.03,9071090,WMT
2013-06-21,73.52,74.2,73.26,73.51,14575716,WMT
2013-06-22,73.36,74.4,73.14,73.74,12949549,WMT
2013-06-23,73.21,74.59,73.02,73.97,11323382,WMT
2013-06-24,73.05,74.79,72.9,74.2,9697215,WMT
2013-06-25,74.27,74.75,73.84,74.37,7221540,WMT
2013-06-26,74.62,75.18,74.54,75.01,5478746,WMT
2013-06-27,75.48,76.11,75.24,75.26,7089175,WMT
2013-06-28,75.11,75.66,74.45,74.49,14553407,WMT
2013-06-29,75.07,75.53,74.33,74.52,11934830,WMT
2013-06-30,75.03,75.4,74.22,74.56,9316254,WMT
2013-07-01,74.99,75.28,74.1,74.59,6697677,WMT
2013-07-02,74.31,75.68,74.21,74.71,6728501,WMT
2013-07-03,74.41,75.12,74.09,74.76,2325106,WMT
2013-07-04,74.78,75.19,74.25,74.98,3886270,WMT
2013-07-05,75.15,75.26,74.41,75.21,5447435,WMT
2013-07-06,75.33,75.76,74.83,75.71,5870554,WMT
2013-07-07,75.5,76.27,75.26,76.21,6293674,WMT
2013-07-08,75.68,76.77,75.68,76.71,6716793,WMT
2013-07-09,76.96,77.44,76.74,77.03,5273182,WMT
2013-07-10,76.96,77.5,76.45,76.77,5144615,WMT
2013-07-11,77.45,77.75,77.33,77.63,4681017,WMT
2013-07-12,77.61,77.67,77.33,77.63,4462338,WMT
2013-07-13,77.51,77.55,77.12,77.43,4603954,WMT
2013-07-14,77.4,77.42,76.91,77.23,4745570,WMT
2013-07-15,77.3,77.3,76.7,77.03,4887186,WMT
2013-07-16,76.98,77.45,76.9,77.37,4707504,WMT
2013-07-17,77.62,77.79,77.09,77.2,5351382,WMT
2013-07-18,77.22,77.55,77.01,77.34,4149818,WMT
2013-07-19,77.45,78.17,77.34,78.08,6831161,WMT
2013-07-20,77.6,78.2,77.47,78.01,5940219,WMT
2013-07-21,77.74,78.22,77.6,77.94,5049276,WMT
2013-07-22,77.89,78.25,77.73,77.87,4158334,WMT
2013-07-23,77.96,78.63,77.8,78.55,5254366,WMT
2013-07-24,78.68,78.69,77.72,78.23,4930310,WMT
2013-07-25,78.05,78.46,77.63,78.01,5916134,WMT
2013-07-26,77.93,78.03,77.1,78.0,5349510,WMT
2013-07-27,77.9,78.1,77.33,78.0,4721440,WMT
2013-07-28,77.86,78.18,77.55,77.99,4093370,WMT
2013-07-29,77.83,78.26,77.78,77.99,3465300,WMT
2013-07-30,78.21,78.36,77.69,77.89,4533684,WMT
2013-07-31,77.92,78.48,77.73,77.94,6040794,WMT
2013-08-01,78.42,78.67,78.1,78.22,5168733,WMT
2013-08-02,78.25,78.75,78.0,78.75,6123897,WMT
2013-08-03,78.37,78.83,78.14,78.76,5384618,WMT
2013-08-04,78.5,78.92,78.29,78.76,4645339,WMT
2013-08-05,78.62,79.0,78.43,78.77,3906060,WMT
2013-08-06,78.56,78.57,77.56,77.87,6700869,WMT
2013-08-07,77.16,77.63,76.62,77.37,5819994,WMT
2013-08-08,77.51,77.89,76.93,77.25,4474679,WMT
2013-08-09,77.21,77.32,76.77,76.9,5764571,WMT
2013-08-10,76.99,77.34,76.68,76.96,5772064,WMT
2013-08-11,76.78,77.37,76.58,77.02,5779556,WMT
2013-08-12,76.56,77.39,76.49,77.08,5787049,WMT
2013-08-13,77.17,77.25,76.22,76.86,6379970,WMT
2013-08-14,76.81,77.22,76.24,76.4,6643038,WMT
2013-08-15,74.46,75.08,74.03,74.41,13219885,WMT
2013-08-16,74.12,74.5,73.7,74.11,7223458,WMT
2013-08-17,74.04,74.31,73.54,73.93,6603953,WMT
2013-08-18,73.96,74.12,73.37,73.76,5984449,WMT
2013-08-19,73.88,73.93,73.21,73.58,5364944,WMT
2013-08-20,73.55,73.62,73.2,73.23,6663009,WMT
2013-08-21,73.16,74.13,72.93,73.55,8077861,WMT
2013-08-22,73.81,74.04,73.24,73.46,3947412,WMT
2013-08-23,73.65,73.75,73.03,73.44,5474969,WMT
2013-08-24,73.65,73.75,73.03,73.3,5435881,WMT
2013-08-25,73.64,73.75,73.03,73.17,5396794,WMT
2013-08-26,73.64,73.75,73.03,73.03,5357706,WMT
2013-08-27,72.68,73.11,72.51,72.86,5787225,WMT
2013-08-28,72.66,72.86,72.27,72.38,5608550,WMT
2013-08-29,72.35,72.88,72.23,72.43,4088193,WMT
2013-08-30,72.64,73.07,72.58,72.98,6066164,WMT
2013-08-31,72.85,73.2,72.57,72.9,6338870,WMT
2013-09-01,73.06,73.32,72.56,72.83,6611575,WMT
2013-09-02,73.27,73.45,72.55,72.76,6884280,WMT
2013-09-03,73.48,73.58,72.54,72.68,7156986,WMT
2013-09-04,72.7,73.12,72.45,72.91,4667490,WMT
2013-09-05,72.84,73.48,72.62,72.67,4680482,WMT
2013-09-06,72.7,73.16,72.19,72.59,5790232,WMT
2013-09-07,72.75,73.32,72.36,72.9,5702498,WMT
2013-09-08,72.8,73.49,72.53,73.2,5614764,WMT
2013-09-09,72.85,73.65,72.7,73.51,5527030,WMT
2013-09-10,73.66,74.21,73.57,73.96,6845276,WMT
2013-09-11,74.0,74.24,73.66,74.05,5335793,WMT
2013-09-12,74.18,74.52,73.77,73.91,5261800,WMT
2013-09-13,74.13,74.4,73.98,74.36,4020403,WMT
2013-09-14,74.39,74.66,74.22,74.5,4084349,WMT
2013-09-15,74.64,74.93,74.45,74.64,4148294,WMT
2013-09-16,74.9,75.19,74.69,74.78,4212240,WMT
2013-09-17,74.84,75.47,74.79,75.15,4272059,WMT
2013-09-18,75.16,76.53,74.9,76.42,6919076,WMT
2013-09-19,76.5,76.53,75.62,76.21,7109721,WMT
2013-09-20,76.32,76.45,75.83,75.83,8847593,WMT
2013-09-21,76.01,76.44,75.62,76.03,7766676,WMT
2013-09-22,75.7,76.44,75.41,76.22,6685760,WMT
2013-09-23,75.39,76.43,75.2,76.42,5604843,WMT
2013-09-24,76.4,76.73,75.68,75.75,6715320,WMT
2013-09-25,75.91,75.94,73.56,74.65,14997095,WMT
2013-09-26,74.78,74.98,74.22,74.62,5077884,WMT
2013-09-27,74.38,74.46,74.07,74.36,4214632,WMT
2013-09-28,74.35,74.51,73.96,74.23,5060582,WMT
2013-09-29,74.31,74.55,73.85,74.09,5906532,WMT
2013-09-30,74.28,74.6,73.74,73.96,6752482,WMT
2013-10-01,73.87,73.89,73.32,73.59,5681088,WMT
2013-10-02,73.39,73.72,73.04,73.72,7376063,WMT
2013-10-03,73.53,73.53,72.95,73.16,7179614,WMT
2013-10-04,73.01,73.38,72.79,72.8,5735870,WMT
2013-10-05,72.81,73.06,72.36,72.49,6118743,WMT
2013-10-06,72.62,72.74,71.94,72.18,6501617,WMT
2013-10-07,72.42,72.42,71.51,71.87,6884490,WMT
2013-10-08,71.85,73.19,71.8,72.9,9191707,WMT
2013-10-09,72.83,73.34,72.57,73.0,6467427,WMT
2013-10-10,73.48,74.87,73.27,74.79,7680063,WMT
2013-10-11,74.61,74.83,73.83,74.82,6529172,WMT
2013-10-12,74.52,74.79,73.8,74.77,6320794,WMT
2013-10-13,74.43,74.75,73.78,74.73,6112416,WMT
2013-10-14,74.34,74.71,73.75,74.68,5904038,WMT
2013-10-15,74.43,75.37,73.99,74.37,8981667,WMT
2013-10-16,74.81,75.62,74.57,75.6,5849390,WMT
2013-10-17,75.49,76.12,71.69,75.78,6395086,WMT
2013-10-18,75.8,75.93,75.48,75.71,6788495,WMT
2013-10-19,75.77,75.89,75.26,75.52,6307585,WMT
2013-10-20,75.75,75.86,75.04,75.34,5826674,WMT
2013-10-21,75.72,75.82,74.82,75.15,5345764,WMT
2013-10-22,75.43,76.49,75.21,76.32,6948532,WMT
2013-10-23,76.18,76.35,75.81,75.9,5844211,WMT
2013-10-24,76.03,76.51,75.82,76.42,5845389,WMT
2013-10-25,76.37,76.76,75.78,76.08,6458843,WMT
2013-10-26,76.3,76.91,75.87,76.43,6621701,WMT
2013-10-27,76.23,77.06,75.96,76.79,6784560,WMT
2013-10-28,76.16,77.21,76.05,77.14,6947418,WMT
2013-10-29,77.25,77.63,76.75,77.06,7437557,WMT
2013-10-30,77.27,77.53,76.56,76.91,4605666,WMT
2013-10-31,76.88,77.15,76.6,76.75,4578154,WMT
2013-11-01,76.97,77.4,76.59,77.07,5116130,WMT
2013-11-02,77.05,77.48,76.79,77.16,4978801,WMT
2013-11-03,77.14,77.57,77.0,77.24,4841473,WMT
2013-11-04,77.22,77.65,77.2,77.33,4704144,WMT
2013-11-05,76.81,77.61,76.72,77.42,5092203,WMT
2013-11-06,77.64,78.28,77.3,78.16,4829209,WMT
2013-11-07,78.19,78.22,77.24,77.51,8347600,WMT
2013-11-08,77.49,77.96,76.79,77.96,5793794,WMT
2013-11-09,77.61,78.33,77.12,78.31,6346025,WMT
2013-11-10,77.74,78.7,77.46,78.66,6898255,WMT
2013-11-11,77.86,79.07,77.79,79.01,7450486,WMT
2013-11-12,78.85,78.97,78.25,78.71,5274506,WMT
2013-11-13,78.42,78.99,78.35,78.9,8287384,WMT
2013-11-14,77.75,79.53,77.68,79.08,9302078,WMT
2013-11-15,78.93,79.29,78.75,79.22,5917004,WMT
2013-11-16,79.03,79.3,78.8,79.22,5932223,WMT
2013-11-17,79.13,79.31,78.86,79.22,5947442,WMT
2013-11-18,79.23,79.32,78.91,79.22,5962661,WMT
2013-11-19,79.3,79.35,78.88,79.25,4455005,WMT
2013-11-20,79.31,79.39,78.49,78.9,4511312,WMT
2013-11-21,78.74,79.2,78.55,78.86,3840986,WMT
2013-11-22,78.87,79.87,78.75,79.81,4818619,WMT
2013-11-23,79.27,80.1,79.14,80.02,5102581,WMT
2013-11-24,79.66,80.34,79.52,80.22,5386544,WMT
2013-11-25,80.06,80.57,79.91,80.43,5670506,WMT
2013-11-26,80.44,80.68,80.11,80.68,5538136,WMT
2013-11-27,80.55,81.0,80.38,80.93,4813288,WMT
2013-11-28,80.86,81.17,80.6,80.97,4130250,WMT
2013-11-29,81.17,81.35,80.82,81.01,3447212,WMT
2013-11-30,81.08,81.33,80.67,81.04,4357634,WMT
2013-12-01,80.98,81.3,80.52,81.08,5268055,WMT
2013-12-02,80.89,81.28,80.37,81.11,6178477,WMT
2013-12-03,81.21,81.33,80.7,81.21,7513346,WMT
2013-12-04,80.64,81.37,79.91,80.22,7641631,WMT
2013-12-05,79.72,79.77,78.87,79.44,6449952,WMT
2013-12-06,79.71,80.23,79.64,79.94,5088055,WMT
2013-12-07,79.89,80.3,79.66,79.94,4889318,WMT
2013-12-08,80.06,80.36,79.68,79.95,4690580,WMT
2013-12-09,80.24,80.43,79.7,79.95,4491843,WMT
2013-12-10,79.72,79.8,79.05,79.08,6285736,WMT
2013-12-11,79.1,79.72,79.05,79.09,5998765,WMT
2013-12-12,79.11,79.26,78.4,78.5,5691583,WMT
