index,open,high,low,close,volume,Name
2013-02-08,14.65,14.82,14.61,14.66,7731572,WU
2013-02-09,14.65,14.78,14.48,14.52,10316010,WU
2013-02-10,14.66,14.74,14.36,14.39,12900448,WU
2013-02-11,14.66,14.69,14.23,14.25,15484886,WU
2013-02-12,14.17,14.41,14.11,14.34,11962041,WU
2013-02-13,13.93,14.52,13.82,14.17,23619015,WU
2013-02-14,14.34,14.45,14.09,14.14,15849866,WU
2013-02-15,14.19,14.5,14.16,14.4,12393640,WU
2013-02-16,14.26,14.5,14.17,14.36,12019132,WU
2013-02-17,14.32,14.49,14.18,14.32,11644624,WU
2013-02-18,14.38,14.48,14.18,14.29,11270116,WU
2013-02-19,14.45,14.47,14.19,14.25,10895608,WU
2013-02-20,14.25,14.27,13.9,14.0,12135306,WU
2013-02-21,13.92,14.05,13.84,13.9,8890233,WU
2013-02-22,14.04,14.09,13.98,14.02,6599812,WU
2013-02-23,14.06,14.11,13.92,13.95,8070126,WU
2013-02-24,14.07,14.13,13.87,13.89,9540441,WU
2013-02-25,14.09,14.15,13.81,13.82,11010755,WU
2013-02-26,13.85,14.13,13.8,14.0,10566452,WU
2013-02-27,13.98,14.23,13.97,14.18,6701866,WU
2013-02-28,14.2,14.31,14.03,14.03,10190529,WU
2013-03-01,13.96,14.31,13.92,14.26,20657957,WU
2013-03-02,14.05,14.29,13.92,14.2,16874396,WU
2013-03-03,14.15,14.27,13.92,14.15,13090836,WU
2013-03-04,14.24,14.25,13.93,14.09,9307275,WU
2013-03-05,14.13,14.38,14.06,14.27,8403211,WU
2013-03-06,14.33,14.52,14.29,14.43,6823489,WU
2013-03-07,14.44,14.67,14.23,14.4,9567626,WU
2013-03-08,14.46,14.65,14.38,14.63,11216857,WU
2013-03-09,14.5,14.68,14.4,14.61,12112356,WU
2013-03-10,14.54,14.71,14.41,14.59,13007854,WU
2013-03-11,14.58,14.74,14.43,14.57,13903353,WU
2013-03-12,14.5,14.62,14.33,14.5,16309692,WU
2013-03-13,14.42,14.58,14.32,14.53,8238890,WU
2013-03-14,14.54,14.74,14.48,14.55,7047252,WU
2013-03-15,14.5,14.74,14.47,14.67,13327141,WU
2013-03-16,14.53,14.75,14.49,14.67,11353639,WU
2013-03-17,14.55,14.75,14.51,14.67,9380136,WU
2013-03-18,14.58,14.76,14.53,14.67,7406634,WU
2013-03-19,14.71,14.76,14.42,14.57,7503988,WU
2013-03-20,14.69,14.8,14.48,14.49,8416295,WU
2013-03-21,14.41,14.62,14.33,14.49,8780594,WU
2013-03-22,14.54,14.75,14.48,14.64,6377870,WU
2013-03-23,14.6,14.74,14.49,14.65,6838645,WU
2013-03-24,14.65,14.72,14.49,14.65,7299420,WU
2013-03-25,14.71,14.71,14.5,14.66,7760195,WU
2013-03-26,14.68,14.86,14.58,14.82,5907238,WU
2013-03-27,14.77,14.98,14.75,14.88,6788799,WU
2013-03-28,14.93,15.05,14.82,15.04,7010834,WU
2013-03-29,14.96,15.07,14.77,14.94,7961140,WU
2013-03-30,14.99,15.1,14.73,14.85,8911446,WU
2013-03-31,15.02,15.12,14.68,14.76,9861752,WU
2013-04-01,15.05,15.14,14.63,14.66,10812058,WU
2013-04-02,14.66,14.85,14.59,14.84,6176625,WU
2013-04-03,14.88,14.95,14.49,14.73,7752599,WU
2013-04-04,14.73,14.75,14.62,14.68,3346491,WU
2013-04-05,14.56,14.56,14.25,14.32,8745833,WU
2013-04-06,14.5,14.54,14.25,14.36,7631606,WU
2013-04-07,14.45,14.53,14.24,14.41,6517379,WU
2013-04-08,14.39,14.51,14.24,14.45,5403152,WU
2013-04-09,14.48,14.82,14.46,14.8,8566188,WU
2013-04-10,14.81,15.06,14.81,15.01,6254802,WU
2013-04-11,15.02,15.16,14.95,15.13,5351024,WU
2013-04-12,15.01,15.09,14.85,15.04,5244231,WU
2013-04-13,15.01,15.06,14.8,14.97,6672346,WU
2013-04-14,15.0,15.03,14.75,14.9,8100462,WU
2013-04-15,15.0,15.0,14.7,14.83,9528577,WU
2013-04-16,14.95,15.04,14.82,15.0,7528686,WU
2013-04-17,15.02,15.02,14.56,14.68,7003857,WU
2013-04-18,14.7,14.76,14.5,14.51,4585304,WU
2013-04-19,14.58,14.58,14.34,14.47,5466442,WU
2013-04-20,14.54,14.57,14.31,14.47,6196095,WU
2013-04-21,14.51,14.57,14.28,14.47,6925747,WU
2013-04-22,14.47,14.56,14.25,14.47,7655400,WU
2013-04-23,14.33,14.62,14.33,14.6,11891291,WU
2013-04-24,14.65,14.72,14.46,14.57,9730275,WU
2013-04-25,14.63,14.77,14.57,14.68,8344930,WU
2013-04-26,14.71,14.71,14.56,14.58,8565162,WU
2013-04-27,14.68,14.71,14.55,14.6,8236946,WU
2013-04-28,14.66,14.7,14.55,14.62,7908729,WU
2013-04-29,14.63,14.7,14.54,14.64,7580513,WU
2013-04-30,14.66,15.0,14.5,14.81,12920792,WU
2013-05-01,14.62,15.78,14.54,15.64,19555283,WU
2013-05-02,15.64,15.7,15.13,15.53,8660762,WU
2013-05-03,15.6,15.76,15.57,15.64,4574947,WU
2013-05-04,15.6,15.77,15.55,15.67,4894595,WU
2013-05-05,15.61,15.79,15.54,15.7,5214243,WU
2013-05-06,15.61,15.8,15.52,15.73,5533891,WU
2013-05-07,15.75,15.82,15.6,15.74,3943199,WU
2013-05-08,15.66,15.79,15.47,15.79,7176321,WU
2013-05-09,15.74,16.12,15.72,16.1,8584746,WU
2013-05-10,16.14,16.23,15.79,15.99,5589960,WU
2013-05-11,16.25,16.31,15.88,16.06,6225429,WU
2013-05-12,16.36,16.39,15.96,16.14,6860899,WU
2013-05-13,16.47,16.47,16.05,16.21,7496368,WU
2013-05-14,16.23,16.4,16.12,16.37,5218194,WU
2013-05-15,16.42,16.55,16.38,16.53,4944564,WU
2013-05-16,16.5,16.61,16.35,16.42,5737715,WU
2013-05-17,16.42,16.75,16.39,16.65,7635217,WU
2013-05-18,16.5,16.73,16.43,16.64,7129961,WU
2013-05-19,16.59,16.71,16.46,16.63,6624705,WU
2013-05-20,16.67,16.7,16.5,16.62,6119449,WU
2013-05-21,16.61,16.72,16.55,16.61,3882771,WU
2013-05-22,16.61,16.85,16.6,16.71,9019379,WU
2013-05-23,16.58,16.71,16.42,16.47,6101912,WU
2013-05-24,16.41,16.46,16.32,16.45,3697510,WU
2013-05-25,16.46,16.52,16.34,16.44,4239122,WU
2013-05-26,16.51,16.58,16.35,16.43,4780734,WU
2013-05-27,16.55,16.63,16.37,16.42,5322346,WU
2013-05-28,16.6,16.69,16.39,16.41,5863958,WU
2013-05-29,16.31,16.44,16.22,16.37,5165709,WU
2013-05-30,16.37,16.58,16.35,16.46,3114809,WU
2013-05-31,16.42,16.59,16.37,16.38,5857183,WU
2013-06-01,16.41,16.54,16.3,16.4,5590908,WU
2013-06-02,16.41,16.49,16.23,16.41,5324634,WU
2013-06-03,16.4,16.44,16.16,16.43,5058359,WU
2013-06-04,16.43,16.58,16.31,16.36,4267523,WU
2013-06-05,16.31,16.47,16.12,16.12,4388315,WU
2013-06-06,16.09,16.45,16.06,16.45,4478351,WU
2013-06-07,16.52,16.68,16.44,16.65,3006829,WU
2013-06-08,16.62,16.76,16.54,16.7,3492716,WU
2013-06-09,16.72,16.84,16.65,16.74,3978603,WU
2013-06-10,16.82,16.91,16.75,16.79,4464490,WU
2013-06-11,16.65,16.81,16.57,16.66,5808360,WU
2013-06-12,16.68,16.68,16.5,16.54,7182279,WU
2013-06-13,16.53,17.16,16.47,16.89,6599411,WU
2013-06-14,16.92,17.09,16.79,17.02,5885986,WU
2013-06-15,16.98,17.11,16.8,16.99,6004774,WU
