index,open,high,low,close,volume,Name
2013-02-08,123.51,126.92,123.5,126.52,1467980,WYNN
2013-02-09,124.63,126.91,123.52,125.71,1420506,WYNN
2013-02-10,125.76,126.89,123.54,124.91,1373032,WYNN
2013-02-11,126.88,126.88,123.56,124.1,1325558,WYNN
2013-02-12,123.57,124.01,122.5,122.67,813480,WYNN
2013-02-13,123.6,124.24,122.39,122.4,1253451,WYNN
2013-02-14,122.8,123.25,121.49,123.2,887230,WYNN
2013-02-15,123.08,123.52,122.01,122.96,1088332,WYNN
2013-02-16,122.53,122.87,121.02,122.32,1291574,WYNN
2013-02-17,121.99,122.22,120.04,121.68,1494816,WYNN
2013-02-18,121.44,121.56,119.06,121.03,1698057,WYNN
2013-02-19,120.9,120.91,118.07,120.39,1901299,WYNN
2013-02-20,120.18,120.92,116.33,116.56,1651298,WYNN
2013-02-21,116.31,116.32,113.85,115.53,1664853,WYNN
2013-02-22,116.15,117.85,115.02,117.34,1296693,WYNN
2013-02-23,116.95,118.8,115.18,116.75,1406238,WYNN
2013-02-24,117.76,119.74,115.35,116.15,1515783,WYNN
2013-02-25,118.56,120.68,115.51,115.56,1625328,WYNN
2013-02-26,115.78,116.32,113.39,115.5,1386543,WYNN
2013-02-27,115.88,118.33,115.28,117.64,1449996,WYNN
2013-02-28,117.24,119.25,116.9,116.9,964147,WYNN
2013-03-01,116.95,117.3,115.14,116.57,1041064,WYNN
2013-03-02,116.68,117.36,115.13,116.56,1138419,WYNN
2013-03-03,116.42,117.43,115.13,116.56,1235775,WYNN
2013-03-04,116.15,117.49,115.12,116.55,1333130,WYNN
2013-03-05,116.88,117.33,115.91,116.0,959721,WYNN
2013-03-06,116.39,118.28,115.83,117.3,1034160,WYNN
2013-03-07,117.27,118.27,116.46,117.21,835607,WYNN
2013-03-08,118.02,118.22,116.66,117.35,908174,WYNN
2013-03-09,117.87,118.58,116.85,117.62,1015868,WYNN
2013-03-10,117.73,118.93,117.04,117.88,1123561,WYNN
2013-03-11,117.58,119.28,117.24,118.15,1231255,WYNN
2013-03-12,117.84,118.0,116.6,117.98,1101057,WYNN
2013-03-13,118.18,119.47,117.47,118.63,762388,WYNN
2013-03-14,118.99,119.98,118.66,119.81,725070,WYNN
2013-03-15,119.52,120.24,118.5,119.97,1565317,WYNN
2013-03-16,119.25,120.76,118.41,120.02,1398724,WYNN
2013-03-17,118.98,121.29,118.33,120.06,1232130,WYNN
2013-03-18,118.71,121.81,118.24,120.11,1065537,WYNN
2013-03-19,120.36,121.33,119.0,119.93,807087,WYNN
2013-03-20,121.1,122.79,120.83,122.32,907790,WYNN
2013-03-21,121.99,122.88,121.09,121.09,657974,WYNN
2013-03-22,121.81,122.9,121.21,122.08,761514,WYNN
2013-03-23,122.17,123.48,121.31,121.93,1223898,WYNN
2013-03-24,122.52,124.07,121.4,121.79,1686281,WYNN
2013-03-25,122.88,124.65,121.5,121.64,2148665,WYNN
2013-03-26,122.6,125.0,121.95,124.54,1087340,WYNN
2013-03-27,123.86,124.44,122.76,124.13,800494,WYNN
2013-03-28,124.25,125.41,123.36,125.16,880120,WYNN
2013-03-29,124.5,125.36,123.12,124.67,902620,WYNN
2013-03-30,124.74,125.32,122.88,124.18,925120,WYNN
2013-03-31,124.98,125.27,122.65,123.68,947621,WYNN
2013-04-01,125.23,125.23,122.41,123.19,970121,WYNN
2013-04-02,123.75,124.24,122.51,123.26,1012427,WYNN
2013-04-03,123.07,123.12,119.75,120.4,1164070,WYNN
2013-04-04,120.55,120.57,118.66,118.8,1185082,WYNN
2013-04-05,116.6,118.17,114.41,118.04,2383506,WYNN
2013-04-06,117.12,119.87,115.66,119.59,2076737,WYNN
2013-04-07,117.65,121.58,116.92,121.13,1769969,WYNN
2013-04-08,118.17,123.28,118.17,122.68,1463200,WYNN
2013-04-09,123.29,124.74,122.64,123.53,1046379,WYNN
2013-04-10,123.7,126.47,123.6,126.36,903648,WYNN
2013-04-11,126.48,128.21,126.27,127.16,1298474,WYNN
2013-04-12,127.0,129.39,126.56,128.54,1248726,WYNN
2013-04-13,127.17,128.99,125.43,127.07,1334954,WYNN
2013-04-14,127.34,128.6,124.31,125.6,1421182,WYNN
2013-04-15,127.51,128.2,123.18,124.13,1507410,WYNN
2013-04-16,125.02,127.44,125.0,127.04,1508191,WYNN
2013-04-17,126.29,126.36,123.17,124.33,1360105,WYNN
2013-04-18,124.79,125.32,122.24,123.94,1109028,WYNN
2013-04-19,125.16,127.93,124.71,127.56,1293740,WYNN
2013-04-20,126.09,128.16,125.39,127.84,1220222,WYNN
2013-04-21,127.02,128.4,126.06,128.12,1146705,WYNN
2013-04-22,127.95,128.63,126.74,128.4,1073187,WYNN
2013-04-23,129.05,129.91,127.35,129.37,1431295,WYNN
2013-04-24,130.0,132.04,129.92,131.5,1533318,WYNN
2013-04-25,133.5,135.98,132.9,134.91,2776329,WYNN
2013-04-26,135.4,136.27,133.84,135.5,1900651,WYNN
2013-04-27,135.5,136.35,133.71,135.6,1672045,WYNN
2013-04-28,135.59,136.43,133.57,135.7,1443438,WYNN
2013-04-29,135.69,136.51,133.44,135.8,1214832,WYNN
2013-04-30,136.26,137.53,135.59,137.3,1482213,WYNN
2013-05-01,136.87,137.39,135.55,136.22,1085586,WYNN
2013-05-02,137.15,138.43,136.06,136.62,1490685,WYNN
2013-05-03,138.23,139.0,136.39,138.8,1553611,WYNN
2013-05-04,138.44,139.45,136.94,138.76,1420925,WYNN
2013-05-05,138.64,139.89,137.5,138.72,1288240,WYNN
2013-05-06,138.85,140.34,138.05,138.68,1155554,WYNN
2013-05-07,138.03,139.53,137.49,138.84,1064180,WYNN
2013-05-08,139.05,139.92,138.05,138.84,720798,WYNN
2013-05-09,138.33,140.09,137.26,139.55,1884921,WYNN
2013-05-10,139.66,140.43,138.74,139.1,844644,WYNN
2013-05-11,139.5,140.42,138.57,139.52,980435,WYNN
2013-05-12,139.35,140.4,138.41,139.94,1116227,WYNN
2013-05-13,139.19,140.39,138.24,140.36,1252018,WYNN
2013-05-14,140.5,142.65,140.26,142.14,917296,WYNN
2013-05-15,141.81,142.4,138.96,139.76,1328404,WYNN
2013-05-16,138.99,141.27,138.99,139.36,957337,WYNN
2013-05-17,140.58,141.65,140.11,140.99,983114,WYNN
2013-05-18,140.88,142.29,140.42,141.7,1020246,WYNN
2013-05-19,141.18,142.92,140.74,142.4,1057377,WYNN
2013-05-20,141.48,143.56,141.05,143.11,1094509,WYNN
2013-05-21,143.26,144.17,141.49,142.43,738607,WYNN
2013-05-22,143.18,144.99,140.85,141.64,1365920,WYNN
2013-05-23,139.79,140.0,137.36,138.45,1460004,WYNN
2013-05-24,137.15,138.44,136.5,137.9,944256,WYNN
2013-05-25,137.78,139.47,137.26,138.57,967282,WYNN
2013-05-26,138.42,140.49,138.01,139.24,990307,WYNN
2013-05-27,139.05,141.51,138.77,139.91,1013332,WYNN
2013-05-28,139.68,142.53,139.53,140.58,1036358,WYNN
2013-05-29,140.37,141.01,137.83,138.48,1085334,WYNN
2013-05-30,138.98,139.38,137.9,138.12,979532,WYNN
2013-05-31,137.18,139.06,135.89,135.89,1072699,WYNN
2013-06-01,136.85,138.78,135.49,136.63,1151530,WYNN
2013-06-02,136.53,138.5,135.09,137.36,1230362,WYNN
2013-06-03,136.2,138.22,134.69,138.1,1309193,WYNN
2013-06-04,137.89,138.5,135.28,136.84,1057794,WYNN
2013-06-05,135.98,136.99,133.01,133.78,1120682,WYNN
2013-06-06,133.5,135.19,133.01,134.94,1155850,WYNN
2013-06-07,135.77,138.1,135.19,137.5,1104559,WYNN
2013-06-08,136.5,138.87,135.96,137.99,1178067,WYNN
2013-06-09,137.23,139.64,136.74,138.47,1251575,WYNN
2013-06-10,137.96,140.41,137.51,138.96,1325083,WYNN
2013-06-11,136.69,136.97,134.24,134.78,1386579,WYNN
2013-06-12,135.49,136.3,133.46,133.89,907271,WYNN
2013-06-13,133.56,137.05,132.16,136.52,1137446,WYNN
2013-06-14,135.97,137.11,134.43,135.14,1027943,WYNN
2013-06-15,136.31,138.16,134.99,136.22,1415130,WYNN
