index,open,high,low,close,volume,Name
2013-02-08,59.6,60.1,59.38,59.89,1020436,WYN
2013-02-09,59.73,60.13,59.42,59.8,1029015,WYN
2013-02-10,59.85,60.16,59.46,59.71,1037594,WYN
2013-02-11,59.98,60.19,59.5,59.62,1046173,WYN
2013-02-12,59.6,59.87,59.5,59.62,1007939,WYN
2013-02-13,59.87,59.87,58.88,59.05,973811,WYN
2013-02-14,58.97,59.18,58.52,58.83,1300460,WYN
2013-02-15,58.94,59.9,58.91,59.41,1471089,WYN
2013-02-16,59.06,59.78,58.76,59.28,1534130,WYN
2013-02-17,59.17,59.65,58.61,59.14,1597171,WYN
2013-02-18,59.28,59.52,58.46,59.0,1660212,WYN
2013-02-19,59.4,59.4,58.31,58.87,1723253,WYN
2013-02-20,58.57,58.65,57.34,57.39,1321995,WYN
2013-02-21,57.27,57.37,56.3,57.23,1754097,WYN
2013-02-22,57.46,58.39,57.38,58.38,1146786,WYN
2013-02-23,57.84,58.56,57.38,58.05,1229979,WYN
2013-02-24,58.21,58.72,57.38,57.72,1313171,WYN
2013-02-25,58.59,58.89,57.39,57.39,1396364,WYN
2013-02-26,57.67,58.37,57.35,58.32,1473279,WYN
2013-02-27,58.3,59.44,58.26,59.17,1011030,WYN
2013-02-28,59.22,60.51,59.18,60.24,1880612,WYN
2013-03-01,59.8,61.39,59.49,60.67,1710740,WYN
2013-03-02,60.01,61.17,59.69,60.61,1514823,WYN
2013-03-03,60.21,60.96,59.89,60.54,1318907,WYN
2013-03-04,60.42,60.74,60.09,60.48,1122990,WYN
2013-03-05,60.77,61.35,60.69,60.95,1262921,WYN
2013-03-06,61.18,61.6,60.92,61.55,1650894,WYN
2013-03-07,61.61,62.12,61.54,61.76,1399627,WYN
2013-03-08,62.11,63.58,61.99,63.54,1489721,WYN
2013-03-09,62.49,63.54,62.25,63.34,1443213,WYN
2013-03-10,62.87,63.5,62.5,63.13,1396706,WYN
2013-03-11,63.25,63.46,62.76,62.93,1350198,WYN
2013-03-12,62.59,62.79,61.63,62.1,1297687,WYN
2013-03-13,62.18,62.97,62.18,62.7,872975,WYN
2013-03-14,62.72,63.18,62.5,62.9,645608,WYN
2013-03-15,62.6,63.23,62.52,62.97,1271147,WYN
2013-03-16,62.45,63.05,62.22,62.83,1237992,WYN
2013-03-17,62.3,62.87,61.93,62.68,1204837,WYN
2013-03-18,62.15,62.69,61.63,62.54,1171682,WYN
2013-03-19,62.79,62.92,62.04,62.4,1366846,WYN
2013-03-20,62.77,63.0,62.13,62.26,960139,WYN
2013-03-21,61.93,62.47,61.68,61.71,930318,WYN
2013-03-22,62.09,62.52,61.99,62.52,676779,WYN
2013-03-23,62.33,62.75,62.09,62.51,782277,WYN
2013-03-24,62.58,62.98,62.2,62.49,887774,WYN
2013-03-25,62.82,63.21,62.3,62.48,993272,WYN
2013-03-26,62.89,63.49,62.67,63.44,1234969,WYN
2013-03-27,63.11,64.14,62.84,64.04,787526,WYN
2013-03-28,64.01,64.8,63.9,64.48,1261169,WYN
2013-03-29,64.13,64.8,63.95,64.43,1288040,WYN
2013-03-30,64.26,64.79,64.0,64.38,1314911,WYN
2013-03-31,64.38,64.78,64.05,64.32,1341782,WYN
2013-04-01,64.5,64.78,64.1,64.27,1368653,WYN
2013-04-02,64.72,64.96,64.23,64.52,960951,WYN
2013-04-03,64.7,64.99,62.62,62.87,2011291,WYN
2013-04-04,62.85,63.7,62.41,62.79,2121241,WYN
2013-04-05,61.9,62.15,60.63,62.1,2151935,WYN
2013-04-06,61.99,62.63,61.08,62.58,1699707,WYN
2013-04-07,62.09,63.11,61.53,63.05,1247480,WYN
2013-04-08,62.18,63.59,61.98,63.53,795252,WYN
2013-04-09,63.81,63.94,63.12,63.2,782525,WYN
2013-04-10,63.33,64.2,63.33,64.03,707020,WYN
2013-04-11,64.1,64.89,64.08,64.53,951720,WYN
2013-04-12,64.34,65.3,64.11,65.26,847678,WYN
2013-04-13,64.55,65.19,63.74,64.57,943026,WYN
2013-04-14,64.77,65.09,63.38,63.88,1038375,WYN
2013-04-15,64.98,64.98,63.01,63.19,1133723,WYN
2013-04-16,63.74,64.12,63.43,64.03,899718,WYN
2013-04-17,63.63,63.64,62.1,63.06,890480,WYN
2013-04-18,63.33,63.6,62.43,62.82,639337,WYN
2013-04-19,62.99,63.71,62.75,63.33,815681,WYN
2013-04-20,63.18,63.72,62.78,63.42,843912,WYN
2013-04-21,63.36,63.72,62.81,63.51,872144,WYN
2013-04-22,63.55,63.73,62.84,63.6,900375,WYN
2013-04-23,63.8,64.88,63.55,64.41,1390740,WYN
2013-04-24,65.0,65.0,59.98,61.84,4866196,WYN
2013-04-25,62.35,63.25,62.27,62.6,2360581,WYN
2013-04-26,62.5,62.99,60.76,61.26,1519752,WYN
2013-04-27,62.15,62.49,60.57,61.0,1594028,WYN
2013-04-28,61.8,61.99,60.37,60.74,1668305,WYN
2013-04-29,61.45,61.49,60.17,60.48,1742581,WYN
2013-04-30,60.58,60.99,59.8,60.08,2067846,WYN
2013-05-01,59.83,60.4,59.12,60.13,1810894,WYN
2013-05-02,60.41,61.75,60.14,61.37,1391970,WYN
2013-05-03,62.16,62.85,62.1,62.57,1345635,WYN
2013-05-04,62.3,63.23,62.21,63.03,1378794,WYN
2013-05-05,62.45,63.62,62.31,63.5,1411952,WYN
2013-05-06,62.59,64.0,62.42,63.96,1445111,WYN
2013-05-07,63.94,64.48,63.8,63.82,2205716,WYN
2013-05-08,63.73,64.36,63.34,63.75,1335993,WYN
2013-05-09,63.78,64.04,63.21,63.45,1398511,WYN
2013-05-10,63.57,64.74,63.47,64.68,1146580,WYN
2013-05-11,63.88,64.83,63.56,64.49,1156741,WYN
2013-05-12,64.2,64.91,63.66,64.3,1166901,WYN
2013-05-13,64.51,65.0,63.75,64.11,1177062,WYN
2013-05-14,64.06,64.34,63.38,63.83,1411560,WYN
2013-05-15,62.94,63.54,62.44,62.59,2371349,WYN
2013-05-16,62.65,63.1,61.26,61.37,1750599,WYN
2013-05-17,61.59,61.96,60.66,60.99,2678955,WYN
2013-05-18,61.44,61.74,60.57,61.0,2407254,WYN
2013-05-19,61.28,61.52,60.47,61.0,2135553,WYN
2013-05-20,61.13,61.3,60.38,61.01,1863852,WYN
2013-05-21,60.87,61.49,60.39,61.32,1583995,WYN
2013-05-22,60.91,62.07,60.36,60.69,1310077,WYN
2013-05-23,60.33,61.34,59.75,60.89,1316833,WYN
2013-05-24,60.4,60.6,59.97,60.48,1183899,WYN
2013-05-25,60.53,60.84,60.19,60.72,1320252,WYN
2013-05-26,60.66,61.08,60.41,60.96,1456604,WYN
2013-05-27,60.79,61.32,60.62,61.19,1592957,WYN
2013-05-28,60.92,61.56,60.84,61.43,1729310,WYN
2013-05-29,60.88,61.23,59.74,59.81,1693525,WYN
2013-05-30,59.93,60.27,59.11,59.11,1649163,WYN
2013-05-31,58.78,59.21,58.1,58.12,1852010,WYN
2013-06-01,58.65,58.93,57.67,58.1,2031598,WYN
2013-06-02,58.51,58.66,57.25,58.09,2211186,WYN
2013-06-03,58.38,58.38,56.82,58.07,2390774,WYN
2013-06-04,58.08,58.95,57.29,57.83,1920598,WYN
2013-06-05,57.73,58.05,56.84,57.11,1120008,WYN
2013-06-06,57.01,57.74,56.81,57.63,1333567,WYN
2013-06-07,58.05,59.02,57.85,58.32,1446312,WYN
2013-06-08,58.17,58.96,57.85,58.2,1221388,WYN
2013-06-09,58.28,58.9,57.84,58.07,996464,WYN
2013-06-10,58.4,58.84,57.84,57.95,771540,WYN
2013-06-11,57.17,58.19,56.51,57.93,1483670,WYN
2013-06-12,58.43,58.69,57.13,57.44,1255441,WYN
2013-06-13,57.54,59.34,57.1,59.3,1885782,WYN
2013-06-14,59.07,59.49,58.61,58.79,1123902,WYN
2013-06-15,59.08,59.5,58.66,58.92,1078695,WYN
2013-06-16,59.09,59.5,58.71,59.05,1033488,WYN
2013-06-17,59.1,59.51,58.76,59.18,988281,WYN
2013-06-18,59.19,60.04,59.16,59.61,967859,WYN
2013-06-19,59.46,59.92,58.48,58.49,1085554,WYN
2013-06-20,57.86,57.9,55.49,55.67,1760364,WYN
2013-06-21,56.23,56.26,52.84,55.15,3838678,WYN
2013-06-22,55.61,55.9,53.07,55.05,3621996,WYN
2013-06-23,54.99,55.54,53.3,54.95,3405314,WYN
2013-06-24,54.37,55.19,53.53,54.85,3188632,WYN
2013-06-25,55.52,56.48,55.33,56.37,1935935,WYN
2013-06-26,56.85,57.16,56.45,56.86,1506441,WYN
2013-06-27,57.16,57.76,56.99,57.42,1252445,WYN
2013-06-28,57.25,57.83,56.67,57.23,1412213,WYN
2013-06-29,57.38,57.83,56.78,57.28,1238969,WYN
2013-06-30,57.5,57.83,56.89,57.33,1065725,WYN
2013-07-01,57.63,57.83,57.0,57.38,892481,WYN
2013-07-02,57.39,57.71,56.84,57.07,1413339,WYN
2013-07-03,56.67,57.39,56.37,56.83,804819,WYN
2013-07-04,57.02,58.17,56.85,57.88,932812,WYN
2013-07-05,57.37,58.95,57.33,58.94,1060806,WYN
2013-07-06,57.87,59.18,57.79,58.89,1034381,WYN
2013-07-07,58.36,59.4,58.24,58.83,1007955,WYN
2013-07-08,58.86,59.63,58.7,58.78,981530,WYN
2013-07-09,59.24,59.52,58.44,59.05,1006161,WYN
2013-07-10,59.03,59.65,58.67,59.52,807791,WYN
2013-07-11,60.49,60.6,59.66,59.95,764936,WYN
2013-07-12,59.85,60.42,59.72,59.97,989095,WYN
2013-07-13,59.91,60.39,59.67,59.85,983512,WYN
2013-07-14,59.98,60.37,59.62,59.72,977928,WYN
2013-07-15,60.04,60.34,59.57,59.6,972345,WYN
2013-07-16,59.74,60.08,58.97,59.16,1148618,WYN
2013-07-17,59.44,60.92,59.44,60.42,971036,WYN
2013-07-18,60.53,61.19,59.76,59.96,960685,WYN
2013-07-19,59.98,60.23,59.59,59.84,914692,WYN
2013-07-20,59.93,60.32,59.67,59.89,839988,WYN
2013-07-21,59.89,60.42,59.76,59.95,765283,WYN
2013-07-22,59.84,60.51,59.84,60.0,690579,WYN
2013-07-23,60.15,60.62,59.8,59.91,1210860,WYN
2013-07-24,61.44,62.59,61.15,61.24,1901350,WYN
2013-07-25,60.92,61.55,60.62,61.39,1279037,WYN
2013-07-26,61.06,61.78,60.81,61.77,745227,WYN
2013-07-27,61.28,61.84,60.94,61.68,728454,WYN
2013-07-28,61.5,61.9,61.07,61.59,711682,WYN
2013-07-29,61.72,61.96,61.2,61.5,694909,WYN
2013-07-30,61.65,61.99,61.4,61.77,704864,WYN
2013-07-31,62.08,62.73,62.03,62.3,1924718,WYN
2013-08-01,62.83,63.86,62.54,63.71,1397171,WYN
2013-08-02,63.38,64.18,63.32,63.65,672089,WYN
2013-08-03,63.41,64.0,63.15,63.45,647548,WYN
2013-08-04,63.43,63.81,62.97,63.24,623006,WYN
2013-08-05,63.46,63.63,62.8,63.04,598465,WYN
2013-08-06,62.96,62.99,61.66,62.01,826385,WYN
2013-08-07,61.83,61.86,60.95,61.01,873693,WYN
2013-08-08,61.42,62.0,61.24,61.41,678986,WYN
2013-08-09,61.4,61.53,60.57,60.78,802854,WYN
2013-08-10,61.03,61.27,60.37,60.61,777235,WYN
2013-08-11,60.66,61.01,60.18,60.45,751617,WYN
2013-08-12,60.29,60.75,59.98,60.28,725998,WYN
2013-08-13,60.44,60.56,59.67,59.86,958370,WYN
2013-08-14,59.8,60.5,59.67,60.33,962547,WYN
2013-08-15,60.0,60.05,59.27,59.5,722396,WYN
2013-08-16,59.28,59.68,59.12,59.32,668177,WYN
2013-08-17,59.25,59.72,59.13,59.29,743318,WYN
2013-08-18,59.22,59.76,59.13,59.26,818458,WYN
2013-08-19,59.19,59.8,59.14,59.23,893599,WYN
2013-08-20,59.2,60.08,58.96,59.8,629673,WYN
2013-08-21,59.66,59.66,58.65,58.84,757614,WYN
2013-08-22,58.86,61.07,58.7,60.32,754520,WYN
2013-08-23,60.43,60.54,59.78,60.42,707396,WYN
2013-08-24,60.41,60.86,59.89,60.65,825900,WYN
2013-08-25,60.4,61.18,60.01,60.89,944403,WYN
2013-08-26,60.38,61.5,60.12,61.12,1062907,WYN
2013-08-27,60.27,60.27,58.76,58.83,971366,WYN
2013-08-28,58.71,58.81,58.0,58.41,844654,WYN
2013-08-29,58.33,59.86,58.33,59.53,681712,WYN
2013-08-30,59.49,59.67,59.1,59.36,608013,WYN
2013-08-31,59.65,59.86,59.26,59.52,608930,WYN
2013-09-01,59.8,60.06,59.42,59.69,609846,WYN
2013-09-02,59.96,60.25,59.57,59.86,610762,WYN
2013-09-03,60.12,60.44,59.73,60.02,611679,WYN
2013-09-04,59.93,61.13,59.68,60.64,621954,WYN
2013-09-05,60.6,61.27,60.4,60.43,676327,WYN
2013-09-06,60.76,60.79,59.32,60.33,544653,WYN
2013-09-07,60.72,60.86,59.63,60.51,531969,WYN
2013-09-08,60.69,60.92,59.93,60.68,519284,WYN
2013-09-09,60.65,60.99,60.24,60.86,506600,WYN
2013-09-10,61.38,61.74,61.28,61.5,668709,WYN
2013-09-11,61.57,62.32,61.36,62.1,795017,WYN
2013-09-12,62.17,62.17,61.51,61.75,658957,WYN
2013-09-13,61.74,62.26,61.74,62.09,304349,WYN
2013-09-14,62.14,62.64,61.95,62.32,501269,WYN
2013-09-15,62.53,63.03,62.16,62.54,698188,WYN
2013-09-16,62.93,63.41,62.37,62.77,895108,WYN
2013-09-17,62.77,63.29,62.47,62.6,658251,WYN
2013-09-18,62.58,63.67,62.28,63.62,672832,WYN
2013-09-19,63.7,63.89,63.01,63.09,632087,WYN
2013-09-20,63.0,63.1,61.95,62.43,1235119,WYN
2013-09-21,62.74,62.88,61.84,62.17,1105302,WYN
2013-09-22,62.47,62.65,61.72,61.9,975485,WYN
2013-09-23,62.21,62.43,61.61,61.64,845668,WYN
2013-09-24,61.67,62.46,61.24,61.97,892480,WYN
2013-09-25,61.99,62.13,61.31,61.93,548268,WYN
2013-09-26,61.95,62.22,61.27,61.94,602297,WYN
2013-09-27,61.64,61.78,61.1,61.65,497536,WYN
2013-09-28,61.41,61.65,60.94,61.42,612476,WYN
2013-09-29,61.19,61.52,60.78,61.2,727416,WYN
2013-09-30,60.96,61.39,60.61,60.97,842356,WYN
2013-10-01,60.8,61.37,60.61,60.96,1197502,WYN
2013-10-02,60.6,61.08,60.48,60.9,964156,WYN
2013-10-03,60.78,61.02,59.66,60.38,1072161,WYN
2013-10-04,60.35,61.1,60.14,60.84,926193,WYN
2013-10-05,60.29,61.08,60.13,60.74,940573,WYN
2013-10-06,60.23,61.05,60.11,60.65,954953,WYN
2013-10-07,60.17,61.03,60.1,60.55,969333,WYN
2013-10-08,60.37,60.79,59.22,59.36,1193961,WYN
2013-10-09,59.45,59.8,58.53,59.48,1334230,WYN
2013-10-10,60.28,61.0,60.23,60.54,1849327,WYN
2013-10-11,60.46,61.61,60.31,61.56,695492,WYN
2013-10-12,60.7,61.73,60.54,61.68,651356,WYN
2013-10-13,60.93,61.85,60.77,61.81,607221,WYN
2013-10-14,61.17,61.98,61.0,61.93,563085,WYN
2013-10-15,61.79,61.94,61.51,61.6,799748,WYN
2013-10-16,61.98,62.81,61.8,62.75,985476,WYN
2013-10-17,62.53,63.87,62.48,63.81,803806,WYN
2013-10-18,64.02,64.38,63.95,64.21,663987,WYN
2013-10-19,64.12,64.41,63.84,64.2,719119,WYN
2013-10-20,64.21,64.44,63.72,64.19,774251,WYN
2013-10-21,64.31,64.47,63.61,64.18,829383,WYN
2013-10-22,64.34,65.46,64.17,65.36,1507209,WYN
2013-10-23,64.57,65.43,63.32,65.27,1583429,WYN
2013-10-24,65.66,67.45,65.45,67.06,2100357,WYN
2013-10-25,67.25,67.49,66.86,67.35,859834,WYN
2013-10-26,67.3,67.46,66.8,67.24,996036,WYN
2013-10-27,67.35,67.43,66.75,67.13,1132237,WYN
2013-10-28,67.4,67.4,66.69,67.02,1268439,WYN
2013-10-29,67.19,67.4,66.78,67.28,1000756,WYN
2013-10-30,67.36,67.52,65.63,66.25,1009560,WYN
2013-10-31,66.25,66.9,65.78,66.4,831414,WYN
2013-11-01,66.7,67.03,66.07,66.8,743132,WYN
2013-11-02,66.78,67.17,66.31,67.01,751151,WYN
2013-11-03,66.85,67.31,66.56,67.23,759169,WYN
2013-11-04,66.93,67.45,66.8,67.44,767188,WYN
2013-11-05,67.06,67.26,66.45,66.99,694195,WYN
2013-11-06,67.12,67.28,66.76,67.26,1056292,WYN
2013-11-07,67.47,67.5,65.54,65.6,1187576,WYN
2013-11-08,65.79,66.53,65.53,66.2,1169177,WYN
2013-11-09,65.94,66.65,65.75,66.3,959719,WYN
2013-11-10,66.08,66.78,65.96,66.39,750262,WYN
2013-11-11,66.23,66.9,66.18,66.49,540804,WYN
2013-11-12,66.41,66.62,65.85,66.07,717055,WYN
2013-11-13,65.59,66.96,65.59,66.91,570249,WYN
2013-11-14,67.07,68.0,66.74,67.91,772387,WYN
2013-11-15,67.9,69.1,67.58,68.92,1039205,WYN
2013-11-16,68.26,69.36,67.94,69.03,1367663,WYN
2013-11-17,68.61,69.62,68.29,69.13,1696121,WYN
2013-11-18,68.97,69.88,68.65,69.24,2024579,WYN
2013-11-19,69.24,69.25,68.46,68.76,995244,WYN
2013-11-20,69.07,69.43,68.24,68.28,941863,WYN
2013-11-21,68.58,70.95,68.41,70.15,2556564,WYN
2013-11-22,70.0,70.99,69.45,70.95,1506696,WYN
2013-11-23,70.33,71.09,69.79,70.9,1373802,WYN
2013-11-24,70.67,71.19,70.14,70.85,1240909,WYN
2013-11-25,71.0,71.29,70.48,70.8,1108015,WYN
2013-11-26,70.79,71.87,70.72,71.58,1124389,WYN
2013-11-27,71.62,72.38,71.18,72.26,1058877,WYN
2013-11-28,71.92,72.32,71.32,71.98,728894,WYN
2013-11-29,72.22,72.25,71.47,71.71,398911,WYN
