index,open,high,low,close,volume,Name
2013-02-08,66.14,66.83,65.97,66.6,659052,XEC
2013-02-09,66.21,66.82,65.92,66.65,598654,XEC
2013-02-10,66.29,66.82,65.86,66.7,538255,XEC
2013-02-11,66.36,66.81,65.81,66.75,477857,XEC
2013-02-12,66.62,67.37,66.58,67.0,525793,XEC
2013-02-13,67.16,67.88,66.65,67.75,732232,XEC
2013-02-14,67.42,68.14,67.24,67.25,827450,XEC
2013-02-15,67.08,67.12,64.81,64.95,1198298,XEC
2013-02-16,66.93,67.11,64.84,65.45,1475344,XEC
2013-02-17,66.78,67.1,64.88,65.95,1752389,XEC
2013-02-18,66.63,67.1,64.92,66.45,2029434,XEC
2013-02-19,66.48,67.09,64.95,66.95,2306480,XEC
2013-02-20,67.02,68.59,66.95,67.33,1752526,XEC
2013-02-21,68.52,68.9,66.56,68.81,1917866,XEC
2013-02-22,69.94,70.36,68.55,68.84,844597,XEC
2013-02-23,69.74,70.06,67.87,68.07,874589,XEC
2013-02-24,69.54,69.76,67.2,67.3,904582,XEC
2013-02-25,69.34,69.46,66.52,66.53,934574,XEC
2013-02-26,66.98,67.18,65.47,67.0,1299689,XEC
2013-02-27,66.51,68.6,66.51,68.1,768198,XEC
2013-02-28,68.11,68.46,66.95,67.31,826197,XEC
2013-03-01,66.87,67.04,65.1,65.47,1057699,XEC
2013-03-02,66.34,66.51,64.44,64.87,1016723,XEC
2013-03-03,65.82,65.97,63.78,64.27,975746,XEC
2013-03-04,65.29,65.44,63.12,63.67,934770,XEC
2013-03-05,64.28,65.23,64.16,64.86,837175,XEC
2013-03-06,65.18,65.49,64.65,65.01,842687,XEC
2013-03-07,65.1,67.57,65.0,67.49,711324,XEC
2013-03-08,67.88,70.75,67.57,70.61,1168836,XEC
2013-03-09,68.67,71.07,68.19,70.96,1034064,XEC
2013-03-10,69.46,71.39,68.82,71.3,899293,XEC
2013-03-11,70.25,71.71,69.44,71.65,764521,XEC
2013-03-12,71.47,72.53,71.15,72.12,861302,XEC
2013-03-13,72.12,74.71,72.0,74.03,1277250,XEC
2013-03-14,74.17,77.0,74.11,76.86,1138533,XEC
2013-03-15,77.16,79.23,76.88,78.1,2036580,XEC
2013-03-16,77.23,79.38,76.79,78.12,1695075,XEC
2013-03-17,77.31,79.54,76.7,78.14,1353570,XEC
2013-03-18,77.38,79.69,76.61,78.16,1012065,XEC
2013-03-19,78.36,78.43,76.41,76.88,730890,XEC
2013-03-20,76.4,76.54,74.0,75.0,1608572,XEC
2013-03-21,74.37,75.14,73.44,74.29,1061268,XEC
2013-03-22,75.03,75.92,74.91,75.89,1117959,XEC
2013-03-23,75.31,76.17,75.06,75.92,989261,XEC
2013-03-24,75.6,76.42,75.2,75.94,860562,XEC
2013-03-25,75.88,76.67,75.35,75.97,731864,XEC
2013-03-26,76.45,76.54,75.6,76.08,733454,XEC
2013-03-27,75.07,76.24,75.07,75.74,525221,XEC
2013-03-28,75.75,76.18,75.16,75.44,628829,XEC
2013-03-29,75.32,75.8,74.64,74.97,662524,XEC
2013-03-30,74.89,75.43,74.12,74.5,696218,XEC
2013-03-31,74.46,75.05,73.6,74.03,729912,XEC
2013-04-01,74.03,74.67,73.08,73.56,763607,XEC
2013-04-02,74.04,74.22,71.06,71.53,813145,XEC
2013-04-03,71.82,72.4,68.43,68.85,1085577,XEC
2013-04-04,68.65,69.75,68.05,69.72,880386,XEC
2013-04-05,68.71,71.58,68.43,70.89,814315,XEC
2013-04-06,69.48,71.67,69.1,71.15,744293,XEC
2013-04-07,70.24,71.76,69.76,71.41,674271,XEC
2013-04-08,71.01,71.85,70.43,71.67,604249,XEC
2013-04-09,71.97,72.99,70.88,72.8,713277,XEC
2013-04-10,72.85,73.25,71.81,72.53,723872,XEC
2013-04-11,72.63,73.19,71.78,73.07,544517,XEC
2013-04-12,72.35,72.68,70.6,72.33,924175,XEC
2013-04-13,72.14,72.36,69.58,70.84,957929,XEC
2013-04-14,71.93,72.04,68.55,69.36,991684,XEC
2013-04-15,71.72,71.72,67.53,67.87,1025438,XEC
2013-04-16,69.06,70.2,67.55,70.11,699276,XEC
2013-04-17,69.69,69.73,67.36,69.28,845567,XEC
2013-04-18,69.28,71.73,68.17,70.67,1032227,XEC
2013-04-19,71.0,71.13,68.91,69.89,769900,XEC
2013-04-20,70.75,71.28,68.97,70.34,685335,XEC
2013-04-21,70.5,71.44,69.02,70.79,600769,XEC
2013-04-22,70.25,71.59,69.08,71.24,516204,XEC
2013-04-23,71.49,71.49,69.94,70.62,934724,XEC
2013-04-24,70.84,73.11,70.84,72.38,565757,XEC
2013-04-25,72.7,74.3,71.88,71.98,863627,XEC
2013-04-26,71.92,71.95,69.46,70.72,958831,XEC
2013-04-27,71.65,72.42,69.5,71.38,848404,XEC
2013-04-28,71.39,72.88,69.55,72.03,737976,XEC
2013-04-29,71.12,73.35,69.59,72.69,627549,XEC
2013-04-30,72.55,73.26,72.13,73.18,711829,XEC
