index,open,high,low,close,volume,Name
2013-02-08,27.01,27.64,27.01,27.09,1206284,XYL
2013-02-09,27.04,27.6,27.01,27.21,1095859,XYL
2013-02-10,27.08,27.57,27.02,27.34,985435,XYL
2013-02-11,27.11,27.53,27.02,27.46,875010,XYL
2013-02-12,27.52,28.1,27.48,27.95,904935,XYL
2013-02-13,28.0,28.37,27.94,28.26,622205,XYL
2013-02-14,28.22,28.62,28.2,28.47,927050,XYL
2013-02-15,28.22,28.47,28.02,28.28,806462,XYL
2013-02-16,28.26,28.56,28.1,28.4,901858,XYL
2013-02-17,28.29,28.66,28.19,28.52,997254,XYL
2013-02-18,28.32,28.76,28.28,28.64,1092650,XYL
2013-02-19,28.36,28.85,28.36,28.76,1188046,XYL
2013-02-20,28.71,28.76,27.93,27.96,765723,XYL
2013-02-21,27.85,28.05,27.52,27.68,1038042,XYL
2013-02-22,27.75,27.86,27.6,27.79,483518,XYL
2013-02-23,27.84,27.96,27.41,27.53,686998,XYL
2013-02-24,27.93,28.06,27.21,27.28,890479,XYL
2013-02-25,28.02,28.16,27.02,27.02,1093959,XYL
2013-02-26,27.14,27.23,26.8,27.0,1204551,XYL
2013-02-27,27.0,27.55,26.94,27.47,1019092,XYL
2013-02-28,27.53,27.77,27.45,27.5,772904,XYL
2013-03-01,27.32,27.66,26.94,27.49,865564,XYL
2013-03-02,27.34,27.61,27.01,27.49,804650,XYL
2013-03-03,27.37,27.56,27.07,27.49,743737,XYL
2013-03-04,27.39,27.51,27.14,27.49,682823,XYL
2013-03-05,27.68,28.51,27.67,28.45,1210593,XYL
2013-03-06,28.57,29.43,28.56,29.34,1701262,XYL
2013-03-07,29.06,29.49,28.32,28.4,2081905,XYL
2013-03-08,28.58,28.69,28.2,28.43,1793230,XYL
2013-03-09,28.54,28.78,28.28,28.54,1498926,XYL
2013-03-10,28.51,28.87,28.37,28.65,1204622,XYL
2013-03-11,28.47,28.96,28.45,28.76,910318,XYL
2013-03-12,28.7,28.74,28.33,28.53,977769,XYL
2013-03-13,28.52,28.57,28.37,28.47,608422,XYL
2013-03-14,28.57,28.82,28.53,28.71,524072,XYL
2013-03-15,28.59,29.03,28.45,28.96,1381129,XYL
2013-03-16,28.61,29.01,28.48,28.9,1088068,XYL
2013-03-17,28.64,29.0,28.52,28.84,795006,XYL
2013-03-18,28.66,28.98,28.55,28.78,501945,XYL
2013-03-19,28.85,28.85,28.21,28.44,548400,XYL
2013-03-20,28.63,28.76,28.36,28.51,709295,XYL
2013-03-21,28.32,28.76,28.27,28.56,1205844,XYL
2013-03-22,28.69,28.76,28.35,28.44,1143678,XYL
2013-03-23,28.67,28.72,28.09,28.2,1050796,XYL
2013-03-24,28.66,28.68,27.83,27.97,957914,XYL
2013-03-25,28.64,28.64,27.57,27.73,865032,XYL
2013-03-26,27.82,27.97,27.57,27.69,1082362,XYL
2013-03-27,27.5,27.54,27.28,27.29,1269681,XYL
2013-03-28,27.37,27.59,27.26,27.56,1392830,XYL
2013-03-29,27.42,27.6,27.2,27.48,1210012,XYL
2013-03-30,27.46,27.62,27.15,27.4,1027194,XYL
2013-03-31,27.51,27.64,27.1,27.33,844376,XYL
2013-04-01,27.56,27.65,27.04,27.25,661558,XYL
2013-04-02,27.42,27.66,27.12,27.22,552612,XYL
2013-04-03,27.15,27.33,26.8,27.12,1416701,XYL
2013-04-04,27.16,27.72,27.16,27.72,982455,XYL
2013-04-05,27.41,27.64,27.2,27.6,1422015,XYL
2013-04-06,27.47,27.71,27.26,27.68,1162084,XYL
2013-04-07,27.53,27.78,27.32,27.77,902152,XYL
2013-04-08,27.59,27.85,27.38,27.85,642221,XYL
2013-04-09,27.85,28.03,27.59,27.96,753914,XYL
2013-04-10,28.05,28.69,28.03,28.69,1109962,XYL
2013-04-11,28.65,28.86,28.47,28.86,924699,XYL
2013-04-12,28.71,28.76,28.42,28.6,618515,XYL
2013-04-13,28.54,28.63,28.04,28.21,947180,XYL
2013-04-14,28.37,28.49,27.67,27.81,1275845,XYL
2013-04-15,28.2,28.36,27.29,27.42,1604510,XYL
2013-04-16,27.53,27.69,27.25,27.66,1391510,XYL
2013-04-17,27.48,27.61,27.02,27.28,1193124,XYL
2013-04-18,27.37,27.52,26.88,27.04,772802,XYL
2013-04-19,27.1,27.38,26.93,26.99,789452,XYL
2013-04-20,27.05,27.29,26.83,26.94,828619,XYL
2013-04-21,27.01,27.2,26.73,26.89,867785,XYL
2013-04-22,26.96,27.11,26.64,26.84,906952,XYL
2013-04-23,26.92,27.43,26.92,27.39,621922,XYL
2013-04-24,27.46,27.97,27.46,27.69,630368,XYL
2013-04-25,27.79,27.95,27.74,27.86,1024943,XYL
2013-04-26,27.88,27.88,27.53,27.71,721454,XYL
2013-04-27,27.84,28.02,27.58,27.89,702433,XYL
2013-04-28,27.8,28.15,27.64,28.07,683413,XYL
2013-04-29,27.76,28.29,27.69,28.25,664392,XYL
2013-04-30,27.81,28.1,26.38,27.75,2809676,XYL
2013-05-01,27.61,27.7,27.12,27.5,1728684,XYL
2013-05-02,27.51,27.71,27.41,27.44,1041265,XYL
2013-05-03,27.74,27.74,27.24,27.36,1388238,XYL
2013-05-04,27.62,27.71,27.25,27.38,1275683,XYL
2013-05-05,27.5,27.69,27.25,27.39,1163129,XYL
2013-05-06,27.38,27.66,27.26,27.41,1050574,XYL
2013-05-07,27.53,27.83,27.46,27.68,1070055,XYL
2013-05-08,27.71,28.2,27.64,28.11,1142163,XYL
2013-05-09,28.12,28.2,27.79,27.88,923943,XYL
2013-05-10,27.96,28.09,27.7,27.8,863858,XYL
2013-05-11,27.89,28.0,27.58,27.71,960260,XYL
2013-05-12,27.82,27.91,27.47,27.63,1056662,XYL
2013-05-13,27.75,27.82,27.35,27.54,1153064,XYL
2013-05-14,27.61,28.4,27.59,28.31,1665286,XYL
2013-05-15,28.19,28.94,28.13,28.6,1695824,XYL
2013-05-16,28.59,28.95,28.59,28.64,798902,XYL
2013-05-17,28.85,29.09,28.79,28.93,502670,XYL
2013-05-18,28.82,29.11,28.74,28.91,557310,XYL
2013-05-19,28.8,29.13,28.69,28.9,611950,XYL
2013-05-20,28.77,29.15,28.64,28.88,666590,XYL
2013-05-21,28.9,29.19,28.68,28.7,450091,XYL
2013-05-22,28.68,28.97,28.37,28.51,1412355,XYL
2013-05-23,28.28,28.45,27.92,28.05,931506,XYL
2013-05-24,27.85,27.96,27.61,27.85,582593,XYL
2013-05-25,27.93,28.07,27.7,27.9,615898,XYL
2013-05-26,28.01,28.18,27.8,27.96,649202,XYL
2013-05-27,28.09,28.28,27.89,28.01,682506,XYL
2013-05-28,28.17,28.39,27.98,28.06,715811,XYL
2013-05-29,27.9,28.13,27.77,28.05,887995,XYL
2013-05-30,28.13,28.68,28.05,28.55,1034432,XYL
2013-05-31,28.41,28.7,28.14,28.14,912159,XYL
2013-06-01,28.35,28.6,28.02,28.18,945981,XYL
2013-06-02,28.28,28.49,27.89,28.21,979803,XYL
2013-06-03,28.22,28.39,27.77,28.25,1013625,XYL
2013-06-04,28.24,28.47,27.73,27.86,479797,XYL
2013-06-05,27.82,27.86,27.19,27.2,668778,XYL
2013-06-06,26.5,27.44,26.49,27.3,867843,XYL
2013-06-07,27.48,27.8,27.33,27.55,866292,XYL
2013-06-08,27.53,27.74,27.32,27.53,786040,XYL
2013-06-09,27.58,27.69,27.31,27.52,705788,XYL
2013-06-10,27.63,27.63,27.3,27.5,625536,XYL
2013-06-11,27.25,27.49,27.1,27.21,654272,XYL
2013-06-12,27.48,27.48,26.96,27.01,834388,XYL
2013-06-13,26.94,27.39,26.91,27.27,805793,XYL
2013-06-14,27.24,27.51,27.04,27.12,349599,XYL
2013-06-15,27.25,27.52,27.05,27.17,483255,XYL
2013-06-16,27.25,27.53,27.06,27.22,616910,XYL
2013-06-17,27.26,27.54,27.07,27.27,750566,XYL
2013-06-18,27.36,27.67,27.34,27.66,666690,XYL
2013-06-19,27.65,27.69,27.24,27.25,605339,XYL
2013-06-20,26.99,27.12,26.39,26.41,1268228,XYL
2013-06-21,26.62,26.7,25.87,26.1,1933125,XYL
2013-06-22,26.38,26.47,25.77,25.99,1755354,XYL
2013-06-23,26.13,26.25,25.66,25.88,1577583,XYL
2013-06-24,25.89,26.02,25.56,25.77,1399812,XYL
2013-06-25,25.95,26.1,25.8,25.93,1246753,XYL
2013-06-26,26.07,26.18,25.98,26.08,971107,XYL
2013-06-27,26.23,26.63,26.13,26.63,1214130,XYL
2013-06-28,26.5,27.04,26.43,26.94,1762930,XYL
2013-06-29,26.71,27.53,26.66,27.18,1668561,XYL
2013-06-30,26.91,28.01,26.89,27.41,1574191,XYL
2013-07-01,27.12,28.5,27.12,27.65,1479822,XYL
2013-07-02,27.59,27.71,27.39,27.5,1432729,XYL
2013-07-03,27.39,27.71,27.34,27.63,330275,XYL
2013-07-04,27.58,27.86,27.49,27.8,450164,XYL
2013-07-05,27.78,28.0,27.65,27.98,570053,XYL
2013-07-06,27.87,28.09,27.77,28.04,633159,XYL
2013-07-07,27.97,28.18,27.89,28.1,696264,XYL
2013-07-08,28.06,28.27,28.01,28.16,759370,XYL
2013-07-09,28.34,29.01,28.3,28.54,1425569,XYL
2013-07-10,28.54,29.05,28.5,28.97,1069034,XYL
2013-07-11,29.38,29.79,28.92,29.03,1195033,XYL
2013-07-12,29.03,29.21,28.92,29.08,670921,XYL
2013-07-13,29.09,29.24,28.97,29.07,748485,XYL
2013-07-14,29.15,29.27,29.01,29.07,826049,XYL
2013-07-15,29.21,29.3,29.06,29.06,903613,XYL
2013-07-16,29.13,29.18,28.56,28.58,901700,XYL
2013-07-17,28.75,28.82,28.55,28.63,539035,XYL
2013-07-18,28.76,29.25,28.76,28.93,609550,XYL
2013-07-19,28.76,28.96,28.64,28.79,602775,XYL
2013-07-20,28.79,28.97,28.65,28.82,588707,XYL
2013-07-21,28.81,28.99,28.67,28.84,574640,XYL
2013-07-22,28.84,29.0,28.68,28.87,560572,XYL
2013-07-23,28.9,28.91,28.65,28.71,898012,XYL
2013-07-24,28.74,28.86,28.52,28.59,546311,XYL
2013-07-25,28.49,28.94,28.49,28.83,826516,XYL
2013-07-26,28.59,28.87,28.49,28.67,632014,XYL
2013-07-27,28.55,28.8,28.47,28.6,641107,XYL
2013-07-28,28.51,28.73,28.44,28.53,650199,XYL
2013-07-29,28.47,28.66,28.42,28.46,659292,XYL
