index,open,high,low,close,volume,Name
2013-02-08,63.7,65.49,63.66,65.3,7190051,YUM
2013-02-09,64.19,65.39,63.93,65.05,6577544,YUM
2013-02-10,64.67,65.29,64.21,64.8,5965038,YUM
2013-02-11,65.16,65.19,64.48,64.55,5352531,YUM
2013-02-12,64.58,65.06,64.06,64.75,4934311,YUM
2013-02-13,64.77,64.91,63.95,64.41,3999959,YUM
2013-02-14,64.27,64.54,63.77,63.89,3949356,YUM
2013-02-15,63.82,64.5,63.44,63.99,4334641,YUM
2013-02-16,63.92,64.67,63.57,64.28,4323096,YUM
2013-02-17,64.01,64.84,63.69,64.57,4311552,YUM
2013-02-18,64.1,65.01,63.81,64.86,4300007,YUM
2013-02-19,64.2,65.18,63.93,65.15,4288462,YUM
2013-02-20,65.17,65.46,64.52,64.56,4302390,YUM
2013-02-21,64.27,65.4,64.25,65.05,4490422,YUM
2013-02-22,65.21,65.6,64.72,65.45,2579023,YUM
2013-02-23,65.35,65.86,64.72,65.21,3182403,YUM
2013-02-24,65.48,66.13,64.73,64.97,3785782,YUM
2013-02-25,65.62,66.39,64.73,64.73,4389162,YUM
2013-02-26,65.15,65.48,64.31,64.87,3758313,YUM
2013-02-27,64.85,65.65,64.76,65.38,1984721,YUM
2013-02-28,65.63,66.48,65.43,65.48,3368170,YUM
2013-03-01,64.89,65.62,64.35,65.21,3079626,YUM
2013-03-02,64.96,65.57,64.55,65.3,2769826,YUM
2013-03-03,65.04,65.53,64.75,65.38,2460026,YUM
2013-03-04,65.11,65.48,64.95,65.47,2150226,YUM
2013-03-05,65.59,66.83,65.55,66.3,3145755,YUM
2013-03-06,66.36,68.0,66.3,66.91,4263982,YUM
2013-03-07,66.82,67.31,66.63,67.25,3538003,YUM
2013-03-08,67.71,68.37,67.67,67.72,4603358,YUM
2013-03-09,67.73,68.24,67.56,67.76,4608582,YUM
2013-03-10,67.76,68.1,67.44,67.8,4613807,YUM
2013-03-11,67.78,67.97,67.32,67.84,4619031,YUM
2013-03-12,71.39,71.5,68.55,68.73,9455646,YUM
2013-03-13,68.61,69.63,68.55,69.35,5972245,YUM
2013-03-14,69.46,69.91,69.25,69.85,2674654,YUM
2013-03-15,69.53,70.2,69.24,70.2,3498751,YUM
2013-03-16,69.46,70.01,69.08,69.84,3394830,YUM
2013-03-17,69.38,69.82,68.91,69.47,3290908,YUM
2013-03-18,69.31,69.63,68.75,69.11,3186987,YUM
2013-03-19,69.27,69.54,68.46,68.84,2390640,YUM
2013-03-20,69.18,69.71,68.95,69.45,1649075,YUM
2013-03-21,69.06,69.9,69.06,69.46,1829652,YUM
2013-03-22,69.36,69.9,69.3,69.69,1777711,YUM
2013-03-23,69.75,70.26,69.63,70.03,2393296,YUM
2013-03-24,70.15,70.62,69.96,70.36,3008880,YUM
2013-03-25,70.54,70.98,70.3,70.7,3624465,YUM
2013-03-26,70.81,71.28,70.6,71.11,2957992,YUM
2013-03-27,70.62,71.39,70.61,71.32,1932284,YUM
2013-03-28,71.32,72.21,70.9,71.94,3275248,YUM
2013-03-29,71.47,72.24,70.93,71.75,2853202,YUM
2013-03-30,71.62,72.26,70.96,71.56,2431156,YUM
2013-03-31,71.78,72.29,70.99,71.36,2009111,YUM
2013-04-01,71.93,72.32,71.02,71.17,1587065,YUM
2013-04-02,70.82,70.92,69.43,70.15,5632322,YUM
2013-04-03,69.93,69.97,67.1,67.54,8694090,YUM
2013-04-04,67.61,68.28,67.32,67.73,3360472,YUM
2013-04-05,66.5,67.06,65.28,66.97,7612363,YUM
2013-04-06,66.39,67.16,65.55,67.09,6387467,YUM
2013-04-07,66.27,67.27,65.83,67.21,5162571,YUM
2013-04-08,66.16,67.37,66.1,67.33,3937675,YUM
2013-04-09,67.32,67.55,66.67,66.79,5919836,YUM
2013-04-10,66.78,67.7,66.74,66.76,5513173,YUM
2013-04-11,65.92,67.6,65.92,67.23,6904574,YUM
2013-04-12,67.1,67.87,66.95,67.8,3891401,YUM
2013-04-13,67.08,67.66,66.61,67.22,4066584,YUM
2013-04-14,67.06,67.46,66.28,66.64,4241768,YUM
2013-04-15,67.04,67.25,65.94,66.06,4416951,YUM
2013-04-16,66.3,66.87,66.02,66.65,4399682,YUM
2013-04-17,66.27,66.72,65.82,66.23,3680446,YUM
2013-04-18,66.34,66.42,64.87,65.0,4566035,YUM
2013-04-19,65.28,65.33,64.74,65.04,4851759,YUM
2013-04-20,65.2,65.36,64.68,65.11,4278875,YUM
2013-04-21,65.12,65.4,64.63,65.19,3705992,YUM
2013-04-22,65.04,65.43,64.57,65.26,3133108,YUM
2013-04-23,64.39,64.64,63.16,64.15,8431973,YUM
2013-04-24,68.4,69.78,67.76,68.65,10297953,YUM
2013-04-25,69.14,69.14,67.04,67.2,4744014,YUM
2013-04-26,66.99,67.2,66.62,66.86,2852098,YUM
2013-04-27,67.04,67.36,66.65,67.11,2822352,YUM
2013-04-28,67.1,67.53,66.69,67.35,2792606,YUM
2013-04-29,67.15,67.69,66.72,67.6,2762860,YUM
2013-04-30,67.5,68.22,66.98,68.12,3297378,YUM
2013-05-01,67.79,68.21,67.51,67.6,2089088,YUM
2013-05-02,67.63,68.38,67.25,68.08,2869485,YUM
2013-05-03,68.5,69.05,68.49,68.91,2759994,YUM
2013-05-04,68.33,68.95,68.31,68.73,2625323,YUM
2013-05-05,68.17,68.84,68.13,68.56,2490651,YUM
2013-05-06,68.0,68.74,67.95,68.38,2355980,YUM
2013-05-07,68.63,68.77,68.16,68.62,1830676,YUM
2013-05-08,68.7,69.68,68.45,69.58,3144680,YUM
2013-05-09,69.33,69.49,68.83,69.07,2208244,YUM
2013-05-10,69.31,70.36,69.27,70.36,3287167,YUM
2013-05-11,69.3,70.26,68.99,69.88,3777827,YUM
2013-05-12,69.29,70.17,68.71,69.4,4268488,YUM
2013-05-13,69.28,70.07,68.43,68.92,4759148,YUM
2013-05-14,69.18,70.22,69.0,70.15,2739137,YUM
2013-05-15,69.9,70.6,69.81,69.92,3340461,YUM
2013-05-16,69.92,70.12,69.33,69.63,2783720,YUM
2013-05-17,69.72,70.29,69.23,70.16,2825602,YUM
2013-05-18,69.85,70.39,69.38,70.26,2770425,YUM
2013-05-19,69.97,70.48,69.53,70.36,2715248,YUM
2013-05-20,70.1,70.58,69.68,70.46,2660071,YUM
2013-05-21,70.26,70.64,70.0,70.18,2609385,YUM
2013-05-22,70.05,70.93,69.51,69.83,2181388,YUM
2013-05-23,68.94,69.37,68.66,69.3,2394185,YUM
2013-05-24,69.13,69.25,68.55,69.21,1809747,YUM
2013-05-25,69.31,69.54,68.81,69.41,1828908,YUM
2013-05-26,69.5,69.83,69.07,69.62,1848068,YUM
2013-05-27,69.68,70.12,69.34,69.82,1867228,YUM
2013-05-28,69.86,70.41,69.6,70.03,1886389,YUM
2013-05-29,69.73,70.09,69.29,69.54,2141376,YUM
2013-05-30,69.5,69.52,68.56,68.6,2014966,YUM
2013-05-31,68.5,69.08,67.75,67.75,2453324,YUM
2013-06-01,68.26,69.06,67.76,68.17,2610946,YUM
2013-06-02,68.03,69.03,67.78,68.59,2768568,YUM
2013-06-03,67.79,69.01,67.79,69.01,2926190,YUM
