index,open,high,low,close,volume,Name
2013-02-08,75.02,75.99,74.96,75.85,911179,ZBH
2013-02-09,75.26,75.99,75.09,75.78,829273,ZBH
2013-02-10,75.51,75.98,75.22,75.72,747368,ZBH
2013-02-11,75.75,75.98,75.35,75.65,665462,ZBH
2013-02-12,75.65,75.82,75.35,75.44,1048252,ZBH
2013-02-13,75.74,76.75,75.66,76.0,931746,ZBH
2013-02-14,75.86,76.4,75.75,76.34,860104,ZBH
2013-02-15,76.22,76.4,75.35,75.9,1176884,ZBH
2013-02-16,76.1,76.38,75.22,75.95,1151381,ZBH
2013-02-17,75.98,76.36,75.08,76.0,1125878,ZBH
2013-02-18,75.86,76.33,74.95,76.06,1100376,ZBH
2013-02-19,75.74,76.31,74.82,76.11,1074873,ZBH
2013-02-20,75.87,76.18,75.23,75.31,1610357,ZBH
2013-02-21,75.15,75.27,73.54,73.87,1029191,ZBH
2013-02-22,74.23,74.39,73.74,74.14,675761,ZBH
2013-02-23,74.32,74.55,73.52,73.78,715966,ZBH
2013-02-24,74.41,74.71,73.29,73.43,756172,ZBH
2013-02-25,74.5,74.87,73.07,73.07,796377,ZBH
2013-02-26,73.51,73.93,72.54,73.53,862508,ZBH
2013-02-27,73.52,74.6,73.31,74.45,769397,ZBH
2013-02-28,74.45,75.33,74.4,74.96,1197257,ZBH
2013-03-01,74.57,75.05,73.95,74.99,941871,ZBH
2013-03-02,74.63,75.02,74.01,74.95,926912,ZBH
2013-03-03,74.7,75.0,74.07,74.9,911952,ZBH
2013-03-04,74.76,74.97,74.13,74.86,896993,ZBH
2013-03-05,75.06,75.87,74.97,75.83,775541,ZBH
2013-03-06,76.0,76.42,75.21,75.29,845747,ZBH
2013-03-07,75.34,75.69,74.61,74.89,721975,ZBH
2013-03-08,75.21,75.52,74.74,75.4,593274,ZBH
2013-03-09,75.18,75.67,74.82,75.51,565014,ZBH
2013-03-10,75.16,75.83,74.9,75.63,536754,ZBH
2013-03-11,75.13,75.98,74.98,75.74,508494,ZBH
2013-03-12,75.53,76.25,75.09,76.2,681002,ZBH
