index,open,high,low,close,volume,Name
2013-02-08,32.31,33.48,32.3,33.05,2599232,ZTS
2013-02-09,32.56,33.49,32.49,33.12,2228193,ZTS
2013-02-10,32.81,33.49,32.69,33.19,1857154,ZTS
2013-02-11,33.06,33.5,32.88,33.26,1486115,ZTS
2013-02-12,33.4,34.0,33.15,33.74,1637279,ZTS
2013-02-13,33.8,33.8,33.0,33.55,1269625,ZTS
2013-02-14,33.39,33.45,32.77,33.27,2954324,ZTS
2013-02-15,33.31,34.09,33.0,33.98,5415665,ZTS
2013-02-16,33.49,34.08,33.14,33.94,4363454,ZTS
2013-02-17,33.67,34.08,33.28,33.91,3311242,ZTS
2013-02-18,33.84,34.08,33.43,33.88,2259030,ZTS
2013-02-19,34.02,34.07,33.57,33.84,1206819,ZTS
2013-02-20,33.84,33.88,32.6,32.72,1842861,ZTS
2013-02-21,32.5,32.8,31.86,32.56,3242213,ZTS
2013-02-22,32.78,32.93,32.5,32.59,954407,ZTS
2013-02-23,32.75,32.85,32.33,32.42,909224,ZTS
2013-02-24,32.71,32.77,32.17,32.24,864041,ZTS
2013-02-25,32.68,32.69,32.0,32.07,818858,ZTS
2013-02-26,32.05,32.4,31.99,32.04,1048603,ZTS
2013-02-27,32.0,33.05,32.0,32.32,1343563,ZTS
2013-02-28,32.56,33.55,32.56,33.45,2991401,ZTS
2013-03-01,33.36,34.7,33.15,34.6,2333917,ZTS
2013-03-02,33.84,34.76,33.51,34.52,1844394,ZTS
2013-03-03,34.32,34.83,33.87,34.43,1354871,ZTS
2013-03-04,34.8,34.89,34.24,34.35,865348,ZTS
2013-03-05,34.41,34.48,33.75,34.29,1413387,ZTS
2013-03-06,34.34,34.38,33.85,33.85,801912,ZTS
2013-03-07,33.95,34.68,33.56,34.56,1319992,ZTS
2013-03-08,34.03,34.69,33.8,34.09,1541064,ZTS
2013-03-09,34.01,34.55,33.62,34.12,1603812,ZTS
2013-03-10,33.99,34.4,33.43,34.15,1666560,ZTS
2013-03-11,33.97,34.26,33.25,34.18,1729308,ZTS
2013-03-12,34.12,34.24,33.6,33.82,1557570,ZTS
2013-03-13,33.9,34.06,33.08,34.0,2240952,ZTS
2013-03-14,34.33,35.42,34.3,34.64,1865195,ZTS
2013-03-15,34.7,34.84,33.31,33.44,2692080,ZTS
2013-03-16,34.05,34.21,33.09,33.24,2585375,ZTS
2013-03-17,33.4,33.57,32.86,33.04,2478669,ZTS
2013-03-18,32.75,32.94,32.64,32.84,2371964,ZTS
2013-03-19,32.8,33.42,32.33,32.8,1336276,ZTS
2013-03-20,32.9,33.54,32.5,33.51,1944682,ZTS
2013-03-21,33.9,34.0,33.29,33.47,514497,ZTS
2013-03-22,33.55,33.75,32.74,33.12,763527,ZTS
2013-03-23,33.53,33.66,32.57,32.9,950539,ZTS
2013-03-24,33.5,33.57,32.41,32.68,1137551,ZTS
2013-03-25,33.48,33.48,32.25,32.46,1324563,ZTS
2013-03-26,32.73,32.79,32.0,32.51,1396456,ZTS
2013-03-27,32.38,32.89,32.06,32.74,1896725,ZTS
2013-03-28,32.85,33.5,32.63,33.4,7435237,ZTS
2013-03-29,32.99,33.52,32.58,33.2,5942981,ZTS
2013-03-30,33.14,33.54,32.53,33.0,4450725,ZTS
2013-03-31,33.28,33.57,32.48,32.79,2958469,ZTS
2013-04-01,33.42,33.59,32.43,32.59,1466213,ZTS
2013-04-02,32.66,33.13,32.46,32.55,712189,ZTS
2013-04-03,32.67,32.98,32.36,32.53,1409612,ZTS
2013-04-04,32.41,32.5,31.71,31.84,1946314,ZTS
2013-04-05,31.73,32.07,30.57,31.96,3963480,ZTS
2013-04-06,31.8,32.37,30.97,32.28,3297356,ZTS
2013-04-07,31.88,32.68,31.37,32.6,2631232,ZTS
2013-04-08,31.95,32.98,31.77,32.92,1965108,ZTS
2013-04-09,33.05,33.59,32.56,33.44,2002379,ZTS
2013-04-10,33.76,33.76,32.98,33.15,969452,ZTS
2013-04-11,33.22,33.24,32.87,33.16,1826538,ZTS
2013-04-12,32.97,33.35,32.6,33.23,723441,ZTS
